Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Category,Orders.Sub-Category,Orders.Segment,Sum(Orders.Sales),Sum(Orders.Profit)
2014,Central,Furniture,Bookcases,Consumer,1110.6116,-120.65839999999996
2014,East,Furniture,Bookcases,Consumer,6759.801000000001,-395.4879000000005
2014,South,Furniture,Bookcases,Consumer,794.2760000000001,164.70860000000002
2014,West,Furniture,Bookcases,Consumer,1489.4415,-302.8688
2014,Central,Furniture,Bookcases,Corporate,209.95319999999998,26.750099999999996
2014,East,Furniture,Bookcases,Corporate,3485.738,-70.80500000000015
2014,South,Furniture,Bookcases,Corporate,,
2014,West,Furniture,Bookcases,Corporate,3325.9764999999998,278.5208999999999
2014,Central,Furniture,Bookcases,Home Office,513.4728,-39.73740000000003
2014,East,Furniture,Bookcases,Home Office,617.912,40.70739999999998
2014,South,Furniture,Bookcases,Home Office,,
2014,West,Furniture,Bookcases,Home Office,1729.495,72.69980000000004
2014,Central,Furniture,Chairs,Consumer,11023.306000000002,577.9794999999997
2014,East,Furniture,Chairs,Consumer,14298.381000000001,1494.901
2014,South,Furniture,Chairs,Consumer,5961.312,729.7823999999999
2014,West,Furniture,Chairs,Consumer,12922.439999999999,686.3086999999995
2014,Central,Furniture,Chairs,Corporate,3891.2039999999997,-231.84699999999987
2014,East,Furniture,Chairs,Corporate,5396.138999999999,882.9467999999999
2014,South,Furniture,Chairs,Corporate,3397.228,543.5437999999998
2014,West,Furniture,Chairs,Corporate,5310.408,269.6639999999999
2014,Central,Furniture,Chairs,Home Office,5839.542,353.1291999999998
2014,East,Furniture,Chairs,Home Office,2313.748,341.5362
2014,South,Furniture,Chairs,Home Office,3713.7400000000002,1031.3877999999997
2014,West,Furniture,Chairs,Home Office,3174.1279999999997,275.7146
2014,Central,Furniture,Furnishings,Consumer,2153.268,-144.59579999999997
2014,East,Furniture,Furnishings,Consumer,2305.5599999999995,350.49669999999986
2014,South,Furniture,Furnishings,Consumer,1413.06,113.88119999999992
2014,West,Furniture,Furnishings,Consumer,1906.32,501.1047
