0,1,Sum(C03.AC),Sum(C03.PY)
[object Object],[object Object],193,183
[object Object],[object Object],189,164
[object Object],[object Object],178,152
[object Object],[object Object],178,172
[object Object],[object Object],170,174
[object Object],[object Object],147,134
[object Object],[object Object],139,152
[object Object],[object Object],136,141
[object Object],[object Object],128,115
[object Object],[object Object],0,183
[object Object],[object Object],0,201
[object Object],[object Object],0,184
