financials.Discount Band,financials.Country,Sum(financials. Sales),CountNonNull(financials.Month Name),Sum(financials.Gross Sales),Sum(financials.Profit)
High,United States of America,11140926.280000001,51,12683271.5,866326.7800000001
Low,United States of America,6273404.135000001,34,6432206.5,1147004.1349999998
Medium,United States of America,7168350.749999999,47,7706731,912328.75
None,United States of America,447149,8,447149,69881
High,Canada,8657237.659999998,53,9890655,911261.1599999999
Low,Canada,6537899.370000001,31,6697135.5,1140580.3699999999
Medium,Canada,7865428.355,44,8517283.5,1093780.855
None,Canada,1827089.5,12,1827089.5,383606.5
High,France,5865834.735,45,6703921.5,535982.735
Low,France,5913163.185,31,6068296.5,1061776.1849999998
Medium,France,10057889.36,55,10792171.5,1619256.8599999999
None,France,2517285,9,2517285,564005
High,Germany,4878794.360000001,40,5564373,424957.35999999987
Low,Germany,10316608.08,34,10604809,1847355.0800000003
Medium,Germany,5824029.879999998,50,6266377,823095.88
None,Germany,2485908.5,16,2485908.5,584980.5
High,Mexico,6829693.690000001,56,7847292,650338.6900000002
Low,Mexico,5588703.93,30,5713007,992141.93
Medium,Mexico,7864732.489999999,46,8500414,1131060.4899999995
None,Mexico,666222,8,666222,133982
