Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales)
Qtr 1,2014,Furniture,Bookcases,-468.0098,2716.501
Qtr 2,2014,Furniture,Bookcases,-214.34510000000003,1708.7035999999998
Qtr 3,2014,Furniture,Bookcases,310.71799999999985,4676.418800000001
Qtr 4,2014,Furniture,Bookcases,25.466199999999468,10935.0542
Qtr 1,2015,Furniture,Bookcases,-602.0130000000005,4714.1896
Qtr 2,2015,Furniture,Bookcases,-279.89830000000006,3275.4674999999997
Qtr 3,2015,Furniture,Bookcases,-1705.2544,17350.5572
Qtr 4,2015,Furniture,Bookcases,-168.06450000000055,13203.358199999999
Qtr 1,2016,Furniture,Bookcases,-105.96419999999995,3571.3709999999996
Qtr 2,2016,Furniture,Bookcases,416.30459999999994,4153.811
Qtr 3,2016,Furniture,Bookcases,-115.84420000000023,9759.8597
Qtr 4,2016,Furniture,Bookcases,17.97479999999969,8790.424799999999
Qtr 1,2017,Furniture,Bookcases,193.1323999999998,3351.8362
Qtr 2,2017,Furniture,Bookcases,109.38829999999992,11019.709499999999
Qtr 3,2017,Furniture,Bookcases,7.617999999999832,5796.223000000001
Qtr 4,2017,Furniture,Bookcases,-893.7648,9856.511
Qtr 1,2014,Furniture,Chairs,1403.0951999999995,10091.3
Qtr 2,2014,Furniture,Chairs,1072.0672999999997,13341.776
Qtr 3,2014,Furniture,Chairs,1871.8917999999999,22804.367000000002
Qtr 4,2014,Furniture,Chairs,2607.9926999999993,31004.132999999998
Qtr 1,2015,Furniture,Chairs,570.4531999999997,9446.912999999999
Qtr 2,2015,Furniture,Chairs,968.062799999999,13891.442000000001
Qtr 3,2015,Furniture,Chairs,2130.7211999999986,18272.498999999996
Qtr 4,2015,Furniture,Chairs,2559.1789,30123.675
Qtr 1,2016,Furniture,Chairs,365.3858,9348.726
Qtr 2,2016,Furniture,Chairs,1601.4947999999993,18979.249
Qtr 3,2016,Furniture,Chairs,914.7577,21556.075999999994
Qtr 4,2016,Furniture,Chairs,2881.515599999999,34034.594
Qtr 1,2017,Furniture,Chairs,1078.7215999999999,11325.497
Qtr 2,2017,Furniture,Chairs,1270.952799999999,19731.315
Qtr 3,2017,Furniture,Chairs,2422.0001999999995,30300.431
Qtr 4,2017,Furniture,Chairs,2871.874699999999,34197.11
Qtr 1,2014,Furniture,Furnishings,183.58190000000005,1584.8780000000002
Qtr 2,2014,Furniture,Furnishings,351.87750000000005,2196.9620000000004
Qtr 3,2014,Furniture,Furnishings,1105.4804000000006,4861.336
Qtr 4,2014,Furniture,Furnishings,331.9521000000001,5183.057999999998
Qtr 1,2015,Furniture,Furnishings,324.25899999999996,2912.1760000000013
Qtr 2,2015,Furniture,Furnishings,1057.3147,7022.308000000001
Qtr 3,2015,Furniture,Furnishings,860.5154999999997,4457.987999999999
Qtr 4,2015,Furniture,Furnishings,809.7297,6697.240000000001
Qtr 1,2016,Furniture,Furnishings,682.5569999999998,4198.188
Qtr 2,2016,Furniture,Furnishings,359.76690000000036,5269.216000000001
Qtr 3,2016,Furniture,Furnishings,737.0449000000002,6338.937999999998
Qtr 4,2016,Furniture,Furnishings,2155.9011999999975,12067.781999999992
Qtr 1,2017,Furniture,Furnishings,349.9273999999998,2759.1
Qtr 2,2017,Furniture,Furnishings,937.2551999999998,5866.777999999998
Qtr 3,2017,Furniture,Furnishings,1233.8149999999991,7789.294000000001
Qtr 4,2017,Furniture,Furnishings,1578.1652000000004,12499.921999999999
Qtr 1,2014,Furniture,Tables,-1321.1641,8263.460000000001
Qtr 2,2014,Furniture,Tables,-408.78190000000075,10816.307999999997
Qtr 3,2014,Furniture,Tables,-391.7742000000008,9615.756500000003
Qtr 4,2014,Furniture,Tables,-1002.3225000000002,17392.841
Qtr 1,2015,Furniture,Tables,-1456.9471000000003,10300.820000000002
Qtr 2,2015,Furniture,Tables,-918.9040000000003,3375.6105000000002
Qtr 3,2015,Furniture,Tables,-748.4285000000002,9504.991
Qtr 4,2015,Furniture,Tables,-385.5223000000004,15969.002
Qtr 1,2016,Furniture,Tables,-816.2506999999999,7231.100999999999
Qtr 2,2016,Furniture,Tables,-294.52550000000053,13000.221
Qtr 3,2016,Furniture,Tables,-288.59430000000026,15159.7585
Qtr 4,2016,Furniture,Tables,-1551.5713000000005,25442.120000000003
Qtr 1,2017,Furniture,Tables,-859.4105000000002,6287.381
Qtr 2,2017,Furniture,Tables,-1283.0212000000001,8414.300500000001
Qtr 3,2017,Furniture,Tables,-1467.8860999999997,12397.153999999997
Qtr 4,2017,Furniture,Tables,-4530.376900000001,33794.70699999999
Qtr 1,2014,Office Supplies,Appliances,-252.46000000000004,905.462
Qtr 2,2014,Office Supplies,Appliances,959.8454999999999,3726.422
Qtr 3,2014,Office Supplies,Appliances,320.6246000000001,4591.7570000000005
Qtr 4,2014,Office Supplies,Appliances,1431.4897999999996,6089.983999999998
Qtr 1,2015,Office Supplies,Appliances,-39.10750000000007,2119.8039999999996
Qtr 2,2015,Office Supplies,Appliances,-523.3126000000011,6610.725999999999
Qtr 3,2015,Office Supplies,Appliances,694.2234999999998,3321.5880000000006
Qtr 4,2015,Office Supplies,Appliances,2256.2342999999983,11257.981000000002
Qtr 1,2016,Office Supplies,Appliances,497.5592999999999,3274.4959999999996
Qtr 2,2016,Office Supplies,Appliances,521.5242999999998,4327.445999999999
Qtr 3,2016,Office Supplies,Appliances,1218.7400999999995,7761.7880000000005
Qtr 4,2016,Office Supplies,Appliances,3063.5178000000005,10686.584999999997
Qtr 1,2017,Office Supplies,Appliances,1708.7566999999992,8543.095999999998
Qtr 2,2017,Office Supplies,Appliances,1445.0907999999995,6382.601999999999
Qtr 3,2017,Office Supplies,Appliances,2244.7142000000013,11402.807999999999
Qtr 4,2017,Office Supplies,Appliances,2466.706599999999,16598.426000000003
Qtr 1,2014,Office Supplies,Art,173.1049,663.9219999999999
Qtr 2,2014,Office Supplies,Art,406.8376999999998,1542.248
Qtr 3,2014,Office Supplies,Art,312.4773,1219.5620000000004
Qtr 4,2014,Office Supplies,Art,514.3832000000001,2632.2500000000005
Qtr 1,2015,Office Supplies,Art,169.44740000000002,700.194
Qtr 2,2015,Office Supplies,Art,323.3574,1567.8720000000008
Qtr 3,2015,Office Supplies,Art,407.5025,1756.8179999999998
Qtr 4,2015,Office Supplies,Art,584.7508999999999,2211.9500000000003
Qtr 1,2016,Office Supplies,Art,169.82289999999992,845.9960000000001
Qtr 2,2016,Office Supplies,Art,365.35349999999994,1468.174
Qtr 3,2016,Office Supplies,Art,407.21139999999997,1869.6919999999998
Qtr 4,2016,Office Supplies,Art,471.57479999999987,1777.0459999999998
Qtr 1,2017,Office Supplies,Art,292.9129,1123.7460000000003
Qtr 2,2017,Office Supplies,Art,579.4466000000001,2277.3920000000007
Qtr 3,2017,Office Supplies,Art,716.417,2570.372
Qtr 4,2017,Office Supplies,Art,633.1865999999998,2891.5580000000014
Qtr 1,2014,Office Supplies,Binders,633.5917999999997,2679.4449999999997
Qtr 2,2014,Office Supplies,Binders,2161.8372999999992,9633.848999999995
Qtr 3,2014,Office Supplies,Binders,2319.1011999999987,19929.49500000001
Qtr 4,2014,Office Supplies,Binders,-374.81430000000216,11245.476
Qtr 1,2015,Office Supplies,Binders,5235.425100000003,11269.445999999996
Qtr 2,2015,Office Supplies,Binders,3373.482500000002,11218.133
Qtr 3,2015,Office Supplies,Binders,272.7145000000005,6295.6140000000005
Qtr 4,2015,Office Supplies,Binders,-1288.7667000000006,8672.449
Qtr 1,2016,Office Supplies,Binders,1133.8051000000005,3541.9930000000013
Qtr 2,2016,Office Supplies,Binders,-1643.0190000000005,4687.897
Qtr 3,2016,Office Supplies,Binders,235.95199999999892,12603.914000000002
Qtr 4,2016,Office Supplies,Binders,10621.488199999996,29257.49699999998
Qtr 1,2017,Office Supplies,Binders,1668.9482999999993,12849.032999999998
Qtr 2,2017,Office Supplies,Binders,2719.9779999999996,10271.180000000004
Qtr 3,2017,Office Supplies,Binders,5479.5250000000015,27501.84700000002
Qtr 4,2017,Office Supplies,Binders,-2198.709500000004,22165.984999999997
Qtr 1,2014,Office Supplies,Envelopes,199.99309999999997,547.5600000000001
Qtr 2,2014,Office Supplies,Envelopes,316.0028,718.106
Qtr 3,2014,Office Supplies,Envelopes,295.3433,721.568
Qtr 4,2014,Office Supplies,Envelopes,684.1395999999999,1868.5160000000003
Qtr 1,2015,Office Supplies,Envelopes,284.64329999999995,597.348
Qtr 2,2015,Office Supplies,Envelopes,354.2834999999999,841.7880000000001
Qtr 3,2015,Office Supplies,Envelopes,513.5864,1180.74
Qtr 4,2015,Office Supplies,Envelopes,807.6773999999999,1892.3119999999997
Qtr 1,2016,Office Supplies,Envelopes,450.9712999999999,1081.94
Qtr 2,2016,Office Supplies,Envelopes,193.43089999999998,416.808
Qtr 3,2016,Office Supplies,Envelopes,683.1735999999999,1586.7020000000002
Qtr 4,2016,Office Supplies,Envelopes,739.1725,1644.44
Qtr 1,2017,Office Supplies,Envelopes,352.40509999999995,848.1320000000001
Qtr 2,2017,Office Supplies,Envelopes,247.08599999999998,578.3979999999999
Qtr 3,2017,Office Supplies,Envelopes,245.54799999999997,588.6999999999999
Qtr 4,2017,Office Supplies,Envelopes,596.7198999999999,1363.344
Qtr 1,2014,Office Supplies,Fasteners,10.201099999999997,97.65
Qtr 2,2014,Office Supplies,Fasteners,28.43779999999999,159.552
Qtr 3,2014,Office Supplies,Fasteners,74.86630000000001,205.696
Qtr 4,2014,Office Supplies,Fasteners,65.0531,198.42999999999998
Qtr 1,2015,Office Supplies,Fasteners,28.217299999999998,74.238
Qtr 2,2015,Office Supplies,Fasteners,17.6771,72.27
Qtr 3,2015,Office Supplies,Fasteners,45.33979999999999,136.426
Qtr 4,2015,Office Supplies,Fasteners,80.70339999999999,262.2900000000001
Qtr 1,2016,Office Supplies,Fasteners,28.5745,88.124
Qtr 2,2016,Office Supplies,Fasteners,54.27639999999999,151.20999999999998
Qtr 3,2016,Office Supplies,Fasteners,80.20309999999999,248.11
Qtr 4,2016,Office Supplies,Fasteners,131.01940000000002,472.69
Qtr 1,2017,Office Supplies,Fasteners,35.39469999999999,136.596
Qtr 2,2017,Office Supplies,Fasteners,19.008499999999998,100.178
Qtr 3,2017,Office Supplies,Fasteners,96.94880000000002,240.22
Qtr 4,2017,Office Supplies,Fasteners,153.59689999999998,380.6000000000001
Qtr 1,2014,Office Supplies,Labels,104.3372,255.21200000000002
Qtr 2,2014,Office Supplies,Labels,344.25749999999994,744.1580000000001
Qtr 3,2014,Office Supplies,Labels,276.63399999999996,617.7019999999999
Qtr 4,2014,Office Supplies,Labels,560.7754999999999,1224.3219999999997
Qtr 1,2015,Office Supplies,Labels,368.11859999999996,781.7139999999999
