Orders.Region,Values.US,Values.Actuals,Accounts Master.Level 0 Description,Accounts Master.Level 1 Description,Accounts Master.Level 2 Description,Accounts Master.Level 3 Description,Accounts Master.Level 4 Description
Central,-1326111983.9799986,-6398495015.029999,Operating Profit,Gross Profit,Cost of Goods Sold,Raw Materials,
East,-1326111983.9799986,-6398495015.029999,Operating Profit,Gross Profit,Cost of Goods Sold,Raw Materials,
South,-1326111983.9799986,-6398495015.029999,Operating Profit,Gross Profit,Cost of Goods Sold,Raw Materials,
West,-1326111983.9799986,-6398495015.029999,Operating Profit,Gross Profit,Cost of Goods Sold,Raw Materials,
Central,-813483565.3000003,-3737161511.0500035,Operating Profit,Gross Profit,Cost of Goods Sold,Labor,
East,-813483565.3000003,-3737161511.0500035,Operating Profit,Gross Profit,Cost of Goods Sold,Labor,
South,-813483565.3000003,-3737161511.0500035,Operating Profit,Gross Profit,Cost of Goods Sold,Labor,
West,-813483565.3000003,-3737161511.0500035,Operating Profit,Gross Profit,Cost of Goods Sold,Labor,
Central,58834.799999998824,-733285.379999998,Operating Profit,Gross Profit,Cost of Goods Sold,Purchase Price Variance,
East,58834.799999998824,-733285.379999998,Operating Profit,Gross Profit,Cost of Goods Sold,Purchase Price Variance,
South,58834.799999998824,-733285.379999998,Operating Profit,Gross Profit,Cost of Goods Sold,Purchase Price Variance,
West,58834.799999998824,-733285.379999998,Operating Profit,Gross Profit,Cost of Goods Sold,Purchase Price Variance,
Central,-1792967.3399999994,-8213609.619999985,Operating Profit,Gross Profit,Cost of Goods Sold,Other Direct Costs,
East,-1792967.3399999994,-8213609.619999985,Operating Profit,Gross Profit,Cost of Goods Sold,Other Direct Costs,
South,-1792967.3399999994,-8213609.619999985,Operating Profit,Gross Profit,Cost of Goods Sold,Other Direct Costs,
West,-1792967.3399999994,-8213609.619999985,Operating Profit,Gross Profit,Cost of Goods Sold,Other Direct Costs,
Central,-3777088.6300000027,-17895923.929999944,Operating Profit,Gross Profit,Cost of Goods Sold,Freight,
