Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Min(Orders.Ship Date),Min(Orders.Order Date),Sum(Orders.Profit),Sum(Orders.Discount)
Central,Office Supplies,Art,5765.339999999999,2014-01-12T18:30:00.000Z,2014-01-08T18:30:00.000Z,1195.1590999999992,21.599999999999955
East,Office Supplies,Art,7485.7639999999965,2014-01-11T18:30:00.000Z,2014-01-04T18:30:00.000Z,1899.944300000002,15.799999999999976
South,Office Supplies,Art,4655.622000000002,2014-01-06T18:30:00.000Z,2014-01-05T18:30:00.000Z,1058.5865999999994,14.39999999999998
West,Office Supplies,Art,9212.065999999992,2014-01-17T18:30:00.000Z,2014-01-12T18:30:00.000Z,2374.0969999999998,7.800000000000004
Central,Office Supplies,Paper,17491.902000000002,2014-01-06T18:30:00.000Z,2014-01-02T18:30:00.000Z,6971.900500000002,41.39999999999999
East,Office Supplies,Paper,20172.60199999997,2014-01-17T18:30:00.000Z,2014-01-12T18:30:00.000Z,9015.370999999994,24.399999999999945
South,Office Supplies,Paper,14150.983999999997,2014-01-09T18:30:00.000Z,2014-01-05T18:30:00.000Z,5947.061399999998,22.59999999999995
West,Office Supplies,Paper,26663.71799999998,2014-01-07T18:30:00.000Z,2014-01-05T18:30:00.000Z,12119.23639999999,14.199999999999982
Central,Office Supplies,Binders,56923.28199999998,2014-01-07T18:30:00.000Z,2014-01-03T18:30:00.000Z,-1043.6369000000086,186.4
East,Office Supplies,Binders,53497.99699999999,2014-01-17T18:30:00.000Z,2014-01-12T18:30:00.000Z,11267.934599999993,155.50000000000003
South,Office Supplies,Binders,37030.34100000001,2014-01-09T18:30:00.000Z,2014-01-05T18:30:00.000Z,3900.6640000000093,92.40000000000018
West,Office Supplies,Binders,55961.113000000034,2014-01-19T18:30:00.000Z,2014-01-18T18:30:00.000Z,16096.80159999999,132.70000000000013
Central,Office Supplies,Labels,2451.472,2014-01-07T18:30:00.000Z,2014-01-03T18:30:00.000Z,1073.0793999999999,8.600000000000001
East,Office Supplies,Labels,2602.9339999999997,2014-01-17T18:30:00.000Z,2014-01-15T18:30:00.000Z,1129.28,7.200000000000004
South,Office Supplies,Labels,2353.1799999999994,2014-01-14T18:30:00.000Z,2014-01-09T18:30:00.000Z,1040.7722999999996,7.0000000000000036
West,Office Supplies,Labels,5078.7260000000015,2014-03-29T18:30:00.000Z,2014-03-25T18:30:00.000Z,2303.1222999999995,2.1999999999999997
Central,Office Supplies,Storage,45930.111999999994,2014-01-07T18:30:00.000Z,2014-01-03T18:30:00.000Z,1969.8364999999972,25.99999999999994
East,Office Supplies,Storage,71612.58400000003,2014-02-09T18:30:00.000Z,2014-02-06T18:30:00.000Z,8389.37119999999,17.19999999999997
South,Office Supplies,Storage,35768.059999999976,2014-01-14T18:30:00.000Z,2014-01-12T18:30:00.000Z,2274.296500000001,11.79999999999999
West,Office Supplies,Storage,70532.85199999994,2014-01-17T18:30:00.000Z,2014-01-12T18:30:00.000Z,8645.322199999986,8.200000000000003
Central,Office Supplies,Fasteners,778.0300000000002,2014-01-26T18:30:00.000Z,2014-01-22T18:30:00.000Z,236.61859999999993,7.400000000000004
East,Office Supplies,Fasteners,819.7179999999998,2014-03-15T18:30:00.000Z,2014-03-10T18:30:00.000Z,263.99080000000004,5.600000000000002
South,Office Supplies,Fasteners,503.31599999999986,2014-01-09T18:30:00.000Z,2014-01-05T18:30:00.000Z,173.71809999999996,2.4
West,Office Supplies,Fasteners,923.216,2014-02-05T18:30:00.000Z,2014-02-01T18:30:00.000Z,275.1907,2.4
Central,Office Supplies,Envelopes,4636.872,2014-03-31T18:30:00.000Z,2014-03-27T18:30:00.000Z,1777.5282999999997,7.600000000000004
East,Office Supplies,Envelopes,4375.874,2014-03-07T18:30:00.000Z,2014-03-01T18:30:00.000Z,1812.4089999999997,6.000000000000003
South,Office Supplies,Envelopes,3345.5560000000014,2014-01-14T18:30:00.000Z,2014-01-12T18:30:00.000Z,1465.4769999999999,4.000000000000001
West,Office Supplies,Envelopes,4118.1,2014-01-19T18:30:00.000Z,2014-01-18T18:30:00.000Z,1908.7624,2.8000000000000003
Central,Office Supplies,Appliances,23582.03299999998,2014-01-25T18:30:00.000Z,2014-01-19T18:30:00.000Z,-2638.617500000002,55.19999999999994
East,Office Supplies,Appliances,34188.46599999999,2014-05-01T18:30:00.000Z,2014-05-01T18:30:00.000Z,8391.4134,9.2
South,Office Supplies,Appliances,19525.325999999997,2014-03-12T18:30:00.000Z,2014-03-10T18:30:00.000Z,4123.939600000001,9
West,Office Supplies,Appliances,30236.335999999996,2014-01-20T18:30:00.000Z,2014-01-17T18:30:00.000Z,8261.269900000001,4.200000000000001
Central,Office Supplies,Supplies,9467.372,2014-09-18T18:30:00.000Z,2014-09-11T18:30:00.000Z,-661.8881000000002,5.200000000000002
East,Office Supplies,Supplies,10760.116,2014-03-07T18:30:00.000Z,2014-03-04T18:30:00.000Z,-1155.1352,3.800000000000001
South,Office Supplies,Supplies,8318.928,2014-04-08T18:30:00.000Z,2014-04-04T18:30:00.000Z,1.8773000000000573,3.0000000000000004
West,Office Supplies,Supplies,18127.121999999996,2014-02-17T18:30:00.000Z,2014-02-13T18:30:00.000Z,626.0464999999994,2.6
Central,Furniture,Chairs,85230.64599999994,2014-02-14T18:30:00.000Z,2014-02-10T18:30:00.000Z,6592.722100000001,29.70000000000005
East,Furniture,Chairs,96260.683,2014-03-31T18:30:00.000Z,2014-03-24T18:30:00.000Z,9357.770600000002,25.3
South,Furniture,Chairs,45176.44599999998,2014-01-09T18:30:00.000Z,2014-01-05T18:30:00.000Z,6612.0893,8.600000000000001
West,Furniture,Chairs,101781.32799999992,2014-02-17T18:30:00.000Z,2014-02-11T18:30:00.000Z,4027.584299999994,41.40000000000008
Central,Furniture,Furnishings,15254.369999999977,2014-01-11T18:30:00.000Z,2014-01-06T18:30:00.000Z,-3906.2167999999997,82.79999999999993
East,Furniture,Furnishings,29071.37999999999,2014-01-13T18:30:00.000Z,2014-01-10T18:30:00.000Z,5881.407100000002,21.999999999999954
South,Furniture,Furnishings,17306.684,2014-01-14T18:30:00.000Z,2014-01-09T18:30:00.000Z,3442.6829000000007,17.59999999999997
West,Furniture,Furnishings,30072.72999999999,2014-01-24T18:30:00.000Z,2014-01-19T18:30:00.000Z,7641.270400000004,9.999999999999996
Central,Furniture,Bookcases,24157.176799999994,2014-01-28T18:30:00.000Z,2014-01-25T18:30:00.000Z,-1997.9043000000006,11.640000000000006
East,Furniture,Bookcases,43819.33399999998,2014-01-14T18:30:00.000Z,2014-01-13T18:30:00.000Z,-1167.6318000000003,15.400000000000002
South,Furniture,Bookcases,10899.362,2014-08-09T18:30:00.000Z,2014-08-07T18:30:00.000Z,1339.4917999999993,2.8000000000000003
West,Furniture,Bookcases,36004.123500000016,2014-01-17T18:30:00.000Z,2014-01-12T18:30:00.000Z,-1646.5117000000016,18.299999999999986
Central,Furniture,Tables,39154.97100000002,2014-03-06T18:30:00.000Z,2014-02-28T18:30:00.000Z,-3559.650400000001,18.900000000000023
East,Furniture,Tables,39139.80700000001,2014-03-20T18:30:00.000Z,2014-03-16T18:30:00.000Z,-11025.380100000002,29.899999999999956
South,Furniture,Tables,43916.192,2014-02-14T18:30:00.000Z,2014-02-10T18:30:00.000Z,-4623.057900000002,11.350000000000003
West,Furniture,Tables,84754.56200000005,2014-02-01T18:30:00.000Z,2014-01-26T18:30:00.000Z,1482.6072999999958,23.19999999999998
Central,Technology,Phones,72403.282,2014-03-31T18:30:00.000Z,2014-03-29T18:30:00.000Z,12323.0267,24.400000000000002
East,Technology,Phones,100614.9820000001,2014-01-17T18:30:00.000Z,2014-01-15T18:30:00.000Z,12314.686000000005,43.59999999999991
South,Technology,Phones,58304.437999999995,2014-01-09T18:30:00.000Z,2014-01-05T18:30:00.000Z,10767.275300000005,13.999999999999982
West,Technology,Phones,98684.35199999997,2014-03-25T18:30:00.000Z,2014-03-22T18:30:00.000Z,9110.742599999998,55.400000000000034
Central,Technology,Accessories,33956.076,2014-01-12T18:30:00.000Z,2014-01-08T18:30:00.000Z,7251.630599999997,22.800000000000004
East,Technology,Accessories,45033.371999999974,2014-02-11T18:30:00.000Z,2014-02-06T18:30:00.000Z,11195.8644,17.59999999999997
South,Technology,Accessories,27276.753999999994,2014-01-14T18:30:00.000Z,2014-01-12T18:30:00.000Z,7004.542399999999,10.999999999999993
West,Technology,Accessories,61114.11600000006,2014-02-17T18:30:00.000Z,2014-02-13T18:30:00.000Z,16484.59830000001,9.399999999999999
Central,Technology,Machines,26797.384,2014-03-16T18:30:00.000Z,2014-03-13T18:30:00.000Z,-1486.0666000000037,6.900000000000002
East,Technology,Machines,66106.165,2014-06-22T18:30:00.000Z,2014-06-16T18:30:00.000Z,6928.642899999997,10.499999999999998
South,Technology,Machines,53890.95999999999,2014-03-22T18:30:00.000Z,2014-03-17T18:30:00.000Z,-1438.8930000000028,6
West,Technology,Machines,42444.122,2014-03-23T18:30:00.000Z,2014-03-17T18:30:00.000Z,-618.9264000000037,11.799999999999999
Central,Technology,Copiers,37259.56999999999,2014-06-02T18:30:00.000Z,2014-05-29T18:30:00.000Z,15608.841299999996,1.7999999999999998
East,Technology,Copiers,53219.46200000001,2014-05-09T18:30:00.000Z,2014-05-07T18:30:00.000Z,17022.8418,5
South,Technology,Copiers,9299.756,2014-05-03T18:30:00.000Z,2014-05-01T18:30:00.000Z,3658.9067,0.6000000000000001
West,Technology,Copiers,49749.241999999984,2014-08-14T18:30:00.000Z,2014-08-07T18:30:00.000Z,19327.235099999994,3.600000000000001
