Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit)
2014,Qtr 1,Furniture,Bookcases,-468.0098
2014,Qtr 2,Furniture,Bookcases,-214.3451
2014,Qtr 3,Furniture,Bookcases,310.71799999999985
2014,Qtr 4,Furniture,Bookcases,25.466199999999446
2015,Qtr 1,Furniture,Bookcases,-602.0130000000004
2015,Qtr 2,Furniture,Bookcases,-279.89830000000006
2015,Qtr 3,Furniture,Bookcases,-1705.2543999999998
2015,Qtr 4,Furniture,Bookcases,-168.0645000000007
2016,Qtr 1,Furniture,Bookcases,-105.96419999999998
2016,Qtr 2,Furniture,Bookcases,416.30459999999994
2016,Qtr 3,Furniture,Bookcases,-115.84420000000027
2016,Qtr 4,Furniture,Bookcases,17.974799999999732
2017,Qtr 1,Furniture,Bookcases,193.1323999999998
2017,Qtr 2,Furniture,Bookcases,109.38829999999993
2017,Qtr 3,Furniture,Bookcases,7.617999999999853
2017,Qtr 4,Furniture,Bookcases,-893.7647999999999
2014,Qtr 1,Furniture,Chairs,1403.0951999999995
2014,Qtr 2,Furniture,Chairs,1072.0673000000002
2014,Qtr 3,Furniture,Chairs,1871.8918000000003
2014,Qtr 4,Furniture,Chairs,2607.9927
2015,Qtr 1,Furniture,Chairs,570.4531999999997
2015,Qtr 2,Furniture,Chairs,968.0627999999997
2015,Qtr 3,Furniture,Chairs,2130.7211999999986
2015,Qtr 4,Furniture,Chairs,2559.1788999999994
2016,Qtr 1,Furniture,Chairs,365.3858
2016,Qtr 2,Furniture,Chairs,1601.4947999999993
2016,Qtr 3,Furniture,Chairs,914.7576999999997
2016,Qtr 4,Furniture,Chairs,2881.5155999999984
2017,Qtr 1,Furniture,Chairs,1078.7215999999996
2017,Qtr 2,Furniture,Chairs,1270.9527999999987
2017,Qtr 3,Furniture,Chairs,2422.000199999999
2017,Qtr 4,Furniture,Chairs,2871.874699999999
2014,Qtr 1,Furniture,Furnishings,183.5819
2014,Qtr 2,Furniture,Furnishings,351.87749999999994
2014,Qtr 3,Furniture,Furnishings,1105.4804
2014,Qtr 4,Furniture,Furnishings,331.95209999999946
2015,Qtr 1,Furniture,Furnishings,324.25899999999996
2015,Qtr 2,Furniture,Furnishings,1057.3146999999997
2015,Qtr 3,Furniture,Furnishings,860.5155
2015,Qtr 4,Furniture,Furnishings,809.7296999999996
2016,Qtr 1,Furniture,Furnishings,682.5569999999998
2016,Qtr 2,Furniture,Furnishings,359.7669000000002
2016,Qtr 3,Furniture,Furnishings,737.0448999999999
2016,Qtr 4,Furniture,Furnishings,2155.9011999999984
2017,Qtr 1,Furniture,Furnishings,349.9274
2017,Qtr 2,Furniture,Furnishings,937.2551999999994
2017,Qtr 3,Furniture,Furnishings,1233.814999999999
2017,Qtr 4,Furniture,Furnishings,1578.1652000000001
2014,Qtr 1,Furniture,Tables,-1321.1641000000002
2014,Qtr 2,Furniture,Tables,-408.78190000000075
2014,Qtr 3,Furniture,Tables,-391.77420000000075
2014,Qtr 4,Furniture,Tables,-1002.3225000000003
2015,Qtr 1,Furniture,Tables,-1456.9471000000003
2015,Qtr 2,Furniture,Tables,-918.9040000000002
2015,Qtr 3,Furniture,Tables,-748.4285000000003
2015,Qtr 4,Furniture,Tables,-385.5223000000002
2016,Qtr 1,Furniture,Tables,-816.2507
2016,Qtr 2,Furniture,Tables,-294.52550000000053
2016,Qtr 3,Furniture,Tables,-288.59430000000026
2016,Qtr 4,Furniture,Tables,-1551.5713
2017,Qtr 1,Furniture,Tables,-859.4105000000002
2017,Qtr 2,Furniture,Tables,-1283.0212
