Orders.Order Date.Variation.Date Hierarchy.Year,Orders.State,Sum(Orders.Profit),CountNonNull(Orders.Row ID)
2014,Alabama,1250.7323999999999,13
2015,Alabama,1199.7853999999998,13
2016,Alabama,2839.9304,19
2017,Alabama,496.3771,16
2014,Arizona,-903.1981000000005,48
2015,Arizona,236.38349999999937,63
2016,Arizona,-1485.1074999999998,43
2017,Arizona,-1276.0025,70
2014,Arkansas,2031.6858,17
2015,Arkansas,103.00639999999997,4
2016,Arkansas,914.5922,20
2017,Arkansas,959.4027,19
2014,California,12637.949100000002,415
2015,California,14371.262999999994,397
2016,California,20005.71609999997,526
2017,California,29366.45889999998,663
2014,Colorado,438.1888999999999,29
2015,Colorado,-1141.0659,40
2016,Colorado,-1389.1326000000008,52
2017,Colorado,-4435.8483000000015,61
2014,Connecticut,745.3331999999999,15
2015,Connecticut,427.14509999999996,11
2016,Connecticut,859.2519,22
2017,Connecticut,1479.7616,34
2014,Delaware,1338.5932999999995,20
2015,Delaware,1608.8708,33
2016,Delaware,976.7058000000002,24
2017,Delaware,6053.204900000001,19
2014,District of Columbia,,
2015,District of Columbia,974.3135,3
2016,District of Columbia,50.211800000000004,5
2017,District of Columbia,35.064,2
2014,Florida,-1412.7599000000025,86
2015,Florida,-1758.7953000000011,85
2016,Florida,-471.8731000000002,86
2017,Florida,244.12659999999937,126
2014,Georgia,1491.7120999999997,29
2015,Georgia,4763.914699999999,40
2016,Georgia,3546.434599999999,53
2017,Georgia,6447.9819,62
2014,Idaho,62.050999999999966,4
2015,Idaho,285.317,5
2016,Idaho,280.34650000000005,4
2017,Idaho,199.00859999999992,8
2014,Illinois,-2043.7367000000008,105
2015,Illinois,-1009.4964000000011,94
2016,Illinois,-2809.093900000001,121
2017,Illinois,-6745.560000000002,172
2014,Indiana,868.1475999999999,17
2015,Indiana,1990.1290999999997,36
2016,Indiana,10385.1339,35
2017,Indiana,5139.525699999998,61
2014,Iowa,109.50120000000005,2
2015,Iowa,490.3654,4
2016,Iowa,308.08149999999995,8
2017,Iowa,275.86379999999997,16
2014,Kansas,266.1984,6
2015,Kansas,76.03450000000001,5
2016,Kansas,230.84619999999995,7
2017,Kansas,263.3644,6
2014,Kentucky,2309.3975000000005,30
2015,Kentucky,2921.9150999999993,36
2016,Kentucky,1216.6625999999997,22
2017,Kentucky,4751.721399999999,51
2014,Louisiana,606.8026,15
2015,Louisiana,288.1276,8
2016,Louisiana,88.268,5
2017,Louisiana,1212.9041000000004,14
2014,Maine,256.9266,3
2015,Maine,32.2658,3
2016,Maine,165.29379999999998,2
2017,Maine,,
2014,Maryland,484.9964,13
2015,Maryland,2713.8319,30
2016,Maryland,1051.7434999999996,25
2017,Maryland,2780.6069999999986,37
2014,Massachusetts,2060.9683999999997,26
2015,Massachusetts,1955.6684999999993,46
2016,Massachusetts,1058.2778,24
2017,Massachusetts,1710.5869000000012,39
2014,Michigan,1817.1086999999998,48
2015,Michigan,5165.7983,69
2016,Michigan,8992.518800000002,71
2017,Michigan,8487.761799999998,67
2014,Minnesota,6237.3607,23
2015,Minnesota,1721.4784000000004,20
2016,Minnesota,404.46939999999995,8
2017,Minnesota,2459.8788999999992,38
2014,Mississippi,545.5311999999999,14
2015,Mississippi,123.20320000000001,3
2016,Mississippi,1475.6798000000001,23
2017,Mississippi,1028.562,13
2014,Missouri,444.2582,14
2015,Missouri,2892.6639999999998,12
2016,Missouri,1365.8578000000002,14
2017,Missouri,1733.4304999999997,26
2014,Montana,129.84920000000002,5
2015,Montana,237.5537999999999,5
2016,Montana,,
2017,Montana,1465.9254999999998,5
2014,Nebraska,58.167899999999996,6
2015,Nebraska,203.4658,7
2016,Nebraska,854.4302,15
2017,Nebraska,921.0302999999998,10
2014,Nevada,250.27239999999978,11
2015,Nevada,468.0479999999999,12
2016,Nevada,2293.2508,10
2017,Nevada,305.1946999999997,6
2014,New Hampshire,108.59499999999998,5
2015,New Hampshire,900.7859,9
2016,New Hampshire,216.90789999999998,6
2017,New Hampshire,480.21399999999994,7
2014,New Jersey,1244.199,20
2015,New Jersey,1315.6196,18
2016,New Jersey,4947.024499999998,49
2017,New Jersey,2266.0707,43
2014,New Mexico,156.05150000000003,5
2015,New Mexico,148.72219999999993,6
2016,New Mexico,24.95199999999999,4
2017,New Mexico,827.3904,22
2014,New York,13748.944800000001,194
2015,New York,19277.582600000016,262
2016,New York,16654.94949999999,320
2017,New York,24357.071700000004,352
2014,North Carolina,-1415.0991000000006,43
2015,North Carolina,-1248.1208000000001,47
2016,North Carolina,260.84109999999913,74
2017,North Carolina,-5088.5334,85
2014,North Dakota,,
2015,North Dakota,,
2016,North Dakota,,
2017,North Dakota,230.14969999999997,7
2014,Ohio,-2131.0641,93
2015,Ohio,-5500.8902,83
2016,Ohio,-7602.895300000003,132
2017,Ohio,-1736.5270000000005,161
2014,Oklahoma,762.0691000000002,12
2015,Oklahoma,660.04,5
2016,Oklahoma,1677.0952999999993,32
2017,Oklahoma,1754.7515999999996,17
2014,Oregon,-135.40489999999994,32
2015,Oregon,-112.0937000000001,27
