Category,Ship Mode,Year,Value Column Name,Value
"Furniture","First Class","2014","Sum of Quantity","251"
"Furniture","First Class","2014","Sum of Sales","23103.904500000008"
"Furniture","First Class","2015","Sum of Quantity","268"
"Furniture","First Class","2015","Sum of Sales","24162.652000000002"
"Furniture","First Class","2016","Sum of Quantity","263"
"Furniture","First Class","2016","Sum of Sales","23759.85480000001"
"Furniture","First Class","2017","Sum of Quantity","456"
"Furniture","First Class","2017","Sum of Sales","39704.111600000004"
"Furniture","Same Day","2014","Sum of Quantity","72"
"Furniture","Same Day","2014","Sum of Sales","4982.239"
"Furniture","Same Day","2015","Sum of Quantity","109"
"Furniture","Same Day","2015","Sum of Sales","10040.944"
"Furniture","Same Day","2016","Sum of Quantity","134"
"Furniture","Same Day","2016","Sum of Sales","12688.918000000001"
"Furniture","Same Day","2017","Sum of Quantity","138"
"Furniture","Same Day","2017","Sum of Sales","11436.677999999996"
"Furniture","Second Class","2014","Sum of Quantity","370"
"Furniture","Second Class","2014","Sum of Sales","41448.392"
"Furniture","Second Class","2015","Sum of Quantity","319"
"Furniture","Second Class","2015","Sum of Sales","31388.030399999996"
"Furniture","Second Class","2016","Sum of Quantity","385"
"Furniture","Second Class","2016","Sum of Sales","34496.9766"
"Furniture","Second Class","2017","Sum of Quantity","495"
"Furniture","Second Class","2017","Sum of Sales","48955.625400000004"
"Furniture","Standard Class","2014","Sum of Quantity","930"
"Furniture","Standard Class","2014","Sum of Sales","87658.31759999997"
"Furniture","Standard Class","2015","Sum of Quantity","1079"
"Furniture","Standard Class","2015","Sum of Sales","104926.61059999999"
"Furniture","Standard Class","2016","Sum of Quantity","1411"
"Furniture","Standard Class","2016","Sum of Sales","127955.68659999986"
"Furniture","Standard Class","2017","Sum of Quantity","1348"
"Furniture","Standard Class","2017","Sum of Sales","115290.85419999994"
"Office Supplies","First Class","2014","Sum of Quantity","580"
"Office Supplies","First Class","2014","Sum of Sales","16734.93599999999"
"Office Supplies","First Class","2015","Sum of Quantity","601"
"Office Supplies","First Class","2015","Sum of Sales","22067.878000000015"
"Office Supplies","First Class","2016","Sum of Quantity","935"
"Office Supplies","First Class","2016","Sum of Sales","27081.019999999975"
"Office Supplies","First Class","2017","Sum of Quantity","1256"
"Office Supplies","First Class","2017","Sum of Sales","35448.47499999999"
"Office Supplies","Same Day","2014","Sum of Quantity","228"
"Office Supplies","Same Day","2014","Sum of Sales","4802.472999999999"
"Office Supplies","Same Day","2015","Sum of Quantity","205"
"Office Supplies","Same Day","2015","Sum of Sales","3788.9680000000003"
"Office Supplies","Same Day","2016","Sum of Quantity","322"
"Office Supplies","Same Day","2016","Sum of Sales","9166.970000000005"
"Office Supplies","Same Day","2017","Sum of Quantity","392"
"Office Supplies","Same Day","2017","Sum of Sales","11332.069999999998"
"Office Supplies","Second Class","2014","Sum of Quantity","857"
"Office Supplies","Second Class","2014","Sum of Sales","34506.44999999997"
"Office Supplies","Second Class","2015","Sum of Quantity","915"
"Office Supplies","Second Class","2015","Sum of Sales","23965.238999999994"
"Office Supplies","Second Class","2016","Sum of Quantity","1104"
"Office Supplies","Second Class","2016","Sum of Sales","41143.677999999985"
"Office Supplies","Second Class","2017","Sum of Quantity","1604"
"Office Supplies","Second Class","2017","Sum of Sales","61067.635999999984"
"Office Supplies","Standard Class","2014","Sum of Quantity","2904"
"Office Supplies","Standard Class","2014","Sum of Sales","95732.55300000003"
"Office Supplies","Standard Class","2015","Sum of Quantity","2994"
"Office Supplies","Standard Class","2015","Sum of Sales","87411.37800000004"
"Office Supplies","Standard Class","2016","Sum of Quantity","3585"
"Office Supplies","Standard Class","2016","Sum of Sales","106548.31400000004"
"Office Supplies","Standard Class","2017","Sum of Quantity","4424"
"Office Supplies","Standard Class","2017","Sum of Sales","138248.99399999995"
"Technology","First Class","2014","Sum of Quantity","208"
"Technology","First Class","2014","Sum of Sales","19930.424000000006"
"Technology","First Class","2015","Sum of Quantity","231"
"Technology","First Class","2015","Sum of Sales","23028.909"
"Technology","First Class","2016","Sum of Quantity","259"
"Technology","First Class","2016","Sum of Sales","31424.468"
"Technology","First Class","2017","Sum of Quantity","385"
"Technology","First Class","2017","Sum of Sales","64981.78999999992"
"Technology","Same Day","2014","Sum of Quantity","56"
"Technology","Same Day","2014","Sum of Sales","7685.422"
"Technology","Same Day","2015","Sum of Quantity","69"
"Technology","Same Day","2015","Sum of Sales","13781.578"
"Technology","Same Day","2016","Sum of Quantity","100"
"Technology","Same Day","2016","Sum of Sales","12649.873"
"Technology","Same Day","2017","Sum of Quantity","135"
"Technology","Same Day","2017","Sum of Sales","26006.992000000002"
"Technology","Second Class","2014","Sum of Quantity","239"
"Technology","Second Class","2014","Sum of Sales","25431.93800000001"
"Technology","Second Class","2015","Sum of Quantity","331"
"Technology","Second Class","2015","Sum of Sales","33749.456"
"Technology","Second Class","2016","Sum of Quantity","331"
"Technology","Second Class","2016","Sum of Sales","44361.786000000015"
"Technology","Second Class","2017","Sum of Quantity","473"
"Technology","Second Class","2017","Sum of Sales","38678.361999999994"
"Technology","Standard Class","2014","Sum of Quantity","886"
"Technology","Standard Class","2014","Sum of Sales","122230.44900000002"
"Technology","Standard Class","2015","Sum of Quantity","858"
"Technology","Standard Class","2015","Sum of Sales","92220.86600000005"
"Technology","Standard Class","2016","Sum of Quantity","1008"
"Technology","Standard Class","2016","Sum of Sales","137928.053"
"Technology","Standard Class","2017","Sum of Quantity","1370"
"Technology","Standard Class","2017","Sum of Sales","142063.667"
