Category,Sub-Category,Value Column Name,Value
"Furniture","Bookcases","2014 Qtr 1 Row ID","6"
"Furniture","Bookcases","2014 Qtr 1 Quantity","26"
"Furniture","Bookcases","2014 Qtr 1 Profit","-256.2948"
"Furniture","Bookcases","2014 Qtr 1 Sales","2208.385"
"Furniture","Bookcases","2014 Qtr 2 Row ID","8"
"Furniture","Bookcases","2014 Qtr 2 Quantity","34"
"Furniture","Bookcases","2014 Qtr 2 Profit","-32.8475"
"Furniture","Bookcases","2014 Qtr 2 Sales","3812.5616"
"Furniture","Bookcases","2014 Qtr 3 Row ID","9"
"Furniture","Bookcases","2014 Qtr 3 Quantity","32"
"Furniture","Bookcases","2014 Qtr 3 Profit","-185.2118"
"Furniture","Bookcases","2014 Qtr 3 Sales","3809.1408"
"Furniture","Bookcases","2014 Qtr 4 Row ID","12"
"Furniture","Bookcases","2014 Qtr 4 Quantity","52"
"Furniture","Bookcases","2014 Qtr 4 Profit","-147.1534"
"Furniture","Bookcases","2014 Qtr 4 Sales","8291.1422"
"Furniture","Bookcases","2015 Qtr 1 Row ID","6"
"Furniture","Bookcases","2015 Qtr 1 Quantity","26"
"Furniture","Bookcases","2015 Qtr 1 Profit","-157.2292"
"Furniture","Bookcases","2015 Qtr 1 Sales","3204.1746"
"Furniture","Bookcases","2015 Qtr 2 Row ID","9"
"Furniture","Bookcases","2015 Qtr 2 Quantity","52"
"Furniture","Bookcases","2015 Qtr 2 Profit","494.6155"
"Furniture","Bookcases","2015 Qtr 2 Sales","6778.6269"
"Furniture","Bookcases","2015 Qtr 3 Row ID","24"
"Furniture","Bookcases","2015 Qtr 3 Quantity","97"
"Furniture","Bookcases","2015 Qtr 3 Profit","-2599.7646"
"Furniture","Bookcases","2015 Qtr 3 Sales","17512.1676"
"Furniture","Bookcases","2015 Qtr 4 Row ID","23"
"Furniture","Bookcases","2015 Qtr 4 Quantity","75"
"Furniture","Bookcases","2015 Qtr 4 Profit","-238.4425"
"Furniture","Bookcases","2015 Qtr 4 Sales","12803.0714"
"Furniture","Bookcases","2016 Qtr 1 Row ID","12"
"Furniture","Bookcases","2016 Qtr 1 Quantity","44"
"Furniture","Bookcases","2016 Qtr 1 Profit","-578.8898"
"Furniture","Bookcases","2016 Qtr 1 Sales","4564.9133"
"Furniture","Bookcases","2016 Qtr 2 Row ID","11"
"Furniture","Bookcases","2016 Qtr 2 Quantity","46"
"Furniture","Bookcases","2016 Qtr 2 Profit","150.5604"
"Furniture","Bookcases","2016 Qtr 2 Sales","5356.98"
"Furniture","Bookcases","2016 Qtr 3 Row ID","16"
"Furniture","Bookcases","2016 Qtr 3 Quantity","50"
"Furniture","Bookcases","2016 Qtr 3 Profit","110.3654"
"Furniture","Bookcases","2016 Qtr 3 Sales","5433.2176"
"Furniture","Bookcases","2016 Qtr 4 Row ID","16"
"Furniture","Bookcases","2016 Qtr 4 Quantity","58"
"Furniture","Bookcases","2016 Qtr 4 Profit","551.3624"
"Furniture","Bookcases","2016 Qtr 4 Sales","11081.3356"
"Furniture","Bookcases","2017 Qtr 1 Row ID","17"
"Furniture","Bookcases","2017 Qtr 1 Quantity","57"
"Furniture","Bookcases","2017 Qtr 1 Profit","212.6332"
"Furniture","Bookcases","2017 Qtr 1 Sales","5154.0244"
"Furniture","Bookcases","2017 Qtr 2 Row ID","20"
"Furniture","Bookcases","2017 Qtr 2 Quantity","91"
"Furniture","Bookcases","2017 Qtr 2 Profit","-613.4751"
"Furniture","Bookcases","2017 Qtr 2 Sales","7700.5145"
"Furniture","Bookcases","2017 Qtr 3 Row ID","14"
"Furniture","Bookcases","2017 Qtr 3 Quantity","40"
"Furniture","Bookcases","2017 Qtr 3 Profit","-49.359"
"Furniture","Bookcases","2017 Qtr 3 Sales","5687.631"
"Furniture","Bookcases","2017 Qtr 4 Row ID","23"
"Furniture","Bookcases","2017 Qtr 4 Quantity","82"
"Furniture","Bookcases","2017 Qtr 4 Profit","-133.9468"
"Furniture","Bookcases","2017 Qtr 4 Sales","11080.121"
"Furniture","Bookcases","2018 Qtr 1 Row ID","2"
"Furniture","Bookcases","2018 Qtr 1 Quantity","6"
"Furniture","Bookcases","2018 Qtr 1 Profit","0.5216"
"Furniture","Bookcases","2018 Qtr 1 Sales","401.9888"
"Furniture","Bookcases","2018 Qtr 2 Row ID",
"Furniture","Bookcases","2018 Qtr 2 Quantity",
"Furniture","Bookcases","2018 Qtr 2 Profit",
"Furniture","Bookcases","2018 Qtr 2 Sales",
"Furniture","Chairs","2014 Qtr 1 Row ID","22"
"Furniture","Chairs","2014 Qtr 1 Quantity","89"
"Furniture","Chairs","2014 Qtr 1 Profit","1840.2007"
"Furniture","Chairs","2014 Qtr 1 Sales","14657.089"
"Furniture","Chairs","2014 Qtr 2 Row ID","23"
"Furniture","Chairs","2014 Qtr 2 Quantity","95"
"Furniture","Chairs","2014 Qtr 2 Profit","624.2244"
"Furniture","Chairs","2014 Qtr 2 Sales","12438.542"
"Furniture","Chairs","2014 Qtr 3 Row ID","30"
"Furniture","Chairs","2014 Qtr 3 Quantity","123"
"Furniture","Chairs","2014 Qtr 3 Profit","1747.6845"
"Furniture","Chairs","2014 Qtr 3 Sales","19005.093"
"Furniture","Chairs","2014 Qtr 4 Row ID","52"
"Furniture","Chairs","2014 Qtr 4 Quantity","224"
"Furniture","Chairs","2014 Qtr 4 Profit","2568.4394"
"Furniture","Chairs","2014 Qtr 4 Sales","30304.692"
"Furniture","Chairs","2015 Qtr 1 Row ID","19"
"Furniture","Chairs","2015 Qtr 1 Quantity","78"
"Furniture","Chairs","2015 Qtr 1 Profit","699.7706"
"Furniture","Chairs","2015 Qtr 1 Sales","10980.162"
"Furniture","Chairs","2015 Qtr 2 Row ID","32"
"Furniture","Chairs","2015 Qtr 2 Quantity","136"
"Furniture","Chairs","2015 Qtr 2 Profit","1981.4599"
"Furniture","Chairs","2015 Qtr 2 Sales","19197.143"
"Furniture","Chairs","2015 Qtr 3 Row ID","44"
"Furniture","Chairs","2015 Qtr 3 Quantity","158"
"Furniture","Chairs","2015 Qtr 3 Profit","2740.2586"
"Furniture","Chairs","2015 Qtr 3 Sales","21768.283"
