Digital Music ERA.Format (group),Sheet1.Year,Sum(Digital Music ERA.Adjusted value)
8 - Track,1973,2.815681824
Cassette,1973,0.527436513
Vinyl,1973,8.268546217
8 - Track,1974,2.848008609
Cassette,1974,0.521166907
Vinyl,1974,8.037897566
8 - Track,1975,2.770409498
Cassette,1975,0.517966784
Vinyl,1975,8.06174908
8 - Track,1976,3.047215772
Cassette,1976,0.6775584459999999
Vinyl,1976,8.573271032
8 - Track,1977,3.421416287
Cassette,1977,1.053003089
Vinyl,1977,10.294623949999998
8 - Track,1978,3.717221411
Cassette,1978,1.76371961
Vinyl,1978,10.718772626
8 - Track,1979,2.40972569
Cassette,1979,2.044551711
Vinyl,1979,8.488798405
8 - Track,1980,1.635087852
Cassette,1980,2.187356614
Vinyl,1980,7.601452063
8 - Track,1981,0.880315083
Cassette,1981,2.989133769
Vinyl,1981,7.307177687
8 - Track,1982,0.095374632
Cassette,1982,3.667949394
Vinyl,1982,5.849909032999999
Compact Disc,1983,0.044149602
Cassette,1983,4.648285756
Vinyl,1983,5.026637581
Compact Disc,1984,0.254180636
Cassette,1984,5.865839483
Vinyl,1984,4.5459702349999995
Compact Disc,1985,0.925449828
Cassette,1985,5.729710553
Vinyl,1985,3.710115293
Compact Disc,1986,2.169585545
Cassette,1986,5.830425835
Vinyl,1986,2.825056503
Compact Disc,1987,3.586399606
Cassette,1987,6.692992236
Vinyl,1987,2.2423999539999997
Compact Disc,1988,4.537641613
Cassette,1988,7.439337759
Vinyl,1988,1.539993053
Other,1989,0.23792595
Compact Disc,1989,5.33374725
Cassette,1989,7.2994197
Vinyl,1989,0.694191225
Other,1990,0.337029083
Compact Disc,1990,6.7632719450000005
Cassette,1990,7.296689419
Vinyl,1990,0.353851196
Other,1991,0.221682024
Compact Disc,1991,8.208053815
Cassette,1991,6.100479075
Vinyl,1991,0.17513067599999999
Other,1992,0.286816905
Compact Disc,1992,9.78821911
Cassette,1992,6.223052179
Vinyl,1992,0.145595112
Other,1993,0.377381579
Compact Disc,1993,11.601343117
Cassette,1993,5.686908617
Vinyl,1993,0.10933981100000001
Other,1994,0.398666213
Compact Disc,1994,14.698724927999999
Cassette,1994,5.6087557630000004
Vinyl,1994,0.11213026300000001
Other,1995,0.369561923
Compact Disc,1995,15.916996805
Cassette,1995,4.260782246
Vinyl,1995,0.12044732699999999
Other,1996,0.38470757
Compact Disc,1996,16.487839717
Cassette,1996,3.4129965089999996
Vinyl,1996,0.137360644
Other,1997,0.515933348
Compact Disc,1997,16.22792763
Cassette,1997,2.638125379
Vinyl,1997,0.109749329
Other,1998,0.796771509
Compact Disc,1998,18.239793769
Cassette,1998,2.375100583
Vinyl,1998,0.093636337
Other,1999,0.578067178
Compact Disc,1999,20.008613001
Cassette,1999,1.70274314
Vinyl,1999,0.091612982
Other,2000,0.418523277
Compact Disc,2000,19.830787924000003
Cassette,2000,0.936221279
Vinyl,2000,0.080171184
Other,2001,0.475224644
Compact Disc,2001,18.758958689
Cassette,2001,0.516943939
Vinyl,2001,0.08488216600000001
Other,2002,0.409847019
Compact Disc,2002,17.155877906
Cassette,2002,0.295874304
Vinyl,2002,0.06451822
Other,2003,0.592179421
Compact Disc,2003,15.668578388
Cassette,2003,0.150198488
Vinyl,2003,0.060023818
Download,2004,0.248348647
Other,2004,0.853588512
Compact Disc,2004,15.520775415
Cassette,2004,0.032075547
Vinyl,2004,0.053053226
Streaming,2005,0.195309905
Download,2005,0.6580582380000001
Other,2005,1.3813070469999997
Compact Disc,2005,13.800372713999998
Cassette,2005,0.017148524
Vinyl,2005,0.035867905
Streaming,2006,0.261490443
Download,2006,1.111144164
Other,2006,1.6043237629999998
Compact Disc,2006,11.898576061
Cassette,2006,0.004692118
Vinyl,2006,0.032464381
Streaming,2007,0.288585326
Download,2007,1.6483895149999999
Other,2007,1.9523907230000002
Compact Disc,2007,9.209201718
Cassette,2007,0.003699812
Vinyl,2007,0.033174979
Streaming,2008,0.262896754
Download,2008,2.029078469
Other,2008,1.555650575
Compact Disc,2008,6.502360543
Cassette,2008,0.001068686
Vinyl,2008,0.070770761
Streaming,2009,0.245722059
Download,2009,2.332333726
Other,2009,1.522714099
Compact Disc,2009,5.152179063000001
Vinyl,2009,0.079007626
Streaming,2010,0.249025694
Download,2010,2.632590838
