Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Sales)
Central,Technology,Phones,713,12323.0267,24.4,72403.282
East,Technology,Phones,982,12314.686000000005,43.59999999999991,100614.9820000001
South,Technology,Phones,526,10767.275300000005,14,58304.437999999995
West,Technology,Phones,1068,9110.742599999998,55.40000000000008,98684.35199999997
Central,Technology,Machines,66,-1486.0666000000037,6.900000000000002,26797.384
East,Technology,Machines,165,6928.642899999997,10.499999999999998,66106.165
South,Technology,Machines,62,-1438.8930000000028,6,53890.95999999999
West,Technology,Machines,147,-618.9264000000037,11.799999999999999,42444.122
Central,Technology,Accessories,716,7251.630599999997,22.8,33956.076
East,Technology,Accessories,724,11195.8644,17.6,45033.371999999974
South,Technology,Accessories,504,7004.542399999999,11,27276.753999999994
West,Technology,Accessories,1032,16484.59830000001,9.4,61114.11600000006
Central,Technology,Copiers,49,15608.841299999996,1.7999999999999998,37259.56999999999
East,Technology,Copiers,71,17022.8418,5,53219.46200000001
South,Technology,Copiers,26,3658.9067,0.6000000000000001,9299.756
West,Technology,Copiers,88,19327.235099999994,3.600000000000001,49749.241999999984
Central,Furniture,Chairs,615,6592.722100000001,29.70000000000005,85230.64599999994
East,Furniture,Chairs,676,9357.770600000002,25.3,96260.683
South,Furniture,Chairs,331,6612.0893,8.6,45176.44599999998
West,Furniture,Chairs,734,4027.584299999994,41.40000000000008,101781.32799999992
Central,Furniture,Tables,262,-3559.650400000001,18.900000000000023,39154.97100000002
East,Furniture,Tables,271,-11025.380100000002,29.899999999999956,39139.80700000001
South,Furniture,Tables,227,-4623.057900000002,11.350000000000003,43916.192
West,Furniture,Tables,481,1482.6072999999958,23.19999999999998,84754.56200000005
Central,Furniture,Bookcases,192,-1997.9043000000006,11.640000000000006,24157.176799999994
East,Furniture,Bookcases,252,-1167.6318000000003,15.400000000000002,43819.33399999998
South,Furniture,Bookcases,118,1339.4917999999993,2.8000000000000003,10899.362
West,Furniture,Bookcases,306,-1646.5117000000016,18.299999999999986,36004.123500000016
Central,Furniture,Furnishings,758,-3906.2167999999997,82.79999999999993,15254.369999999977
East,Furniture,Furnishings,1015,5881.407100000002,22,29071.37999999999
South,Furniture,Furnishings,615,3442.6829000000007,17.6,17306.684
West,Furniture,Furnishings,1175,7641.270400000004,10,30072.72999999999
Central,Office Supplies,Storage,724,1969.8364999999972,26,45930.111999999994
East,Office Supplies,Storage,907,8389.37119999999,17.200000000000003,71612.58400000003
South,Office Supplies,Storage,488,2274.296500000001,11.8,35768.059999999976
West,Office Supplies,Storage,1039,8645.322199999986,8.200000000000001,70532.85199999994
Central,Office Supplies,Binders,1473,-1043.6369000000086,186.4,56923.28199999998
East,Office Supplies,Binders,1652,11267.934599999993,155.5,53497.99699999999
South,Office Supplies,Binders,981,3900.6640000000093,92.4,37030.34100000001
West,Office Supplies,Binders,1868,16096.80159999999,132.70000000000002,55961.113000000034
Central,Office Supplies,Appliances,470,-2638.617500000002,55.19999999999994,23582.03299999998
East,Office Supplies,Appliances,474,8391.4134,9.200000000000001,34188.46599999999
South,Office Supplies,Appliances,293,4123.939600000001,9,19525.325999999997
West,Office Supplies,Appliances,492,8261.269900000001,4.2,30236.335999999996
Central,Office Supplies,Paper,1225,6971.900500000002,41.400000000000006,17491.902000000002
East,Office Supplies,Paper,1400,9015.370999999994,24.400000000000002,20172.60199999997
South,Office Supplies,Paper,851,5947.061399999998,22.6,14150.983999999997
West,Office Supplies,Paper,1702,12119.23639999999,14.200000000000001,26663.71799999998
Central,Office Supplies,Supplies,122,-661.8881000000002,5.200000000000001,9467.372
East,Office Supplies,Supplies,195,-1155.1352,3.8,10760.116
South,Office Supplies,Supplies,92,1.8773000000000573,3.0000000000000004,8318.928
West,Office Supplies,Supplies,238,626.0464999999994,2.6,18127.121999999996
Central,Office Supplies,Art,678,1195.1590999999992,21.6,5765.339999999999
East,Office Supplies,Art,849,1899.944300000002,15.8,7485.7639999999965
South,Office Supplies,Art,547,1058.5865999999994,14.4,4655.622000000002
West,Office Supplies,Art,926,2374.0969999999998,7.800000000000001,9212.065999999992
Central,Office Supplies,Envelopes,206,1777.5282999999997,7.600000000000001,4636.872
East,Office Supplies,Envelopes,267,1812.4089999999997,6,4375.874
South,Office Supplies,Envelopes,206,1465.4769999999999,4.000000000000001,3345.5560000000014
West,Office Supplies,Envelopes,227,1908.7624,2.8000000000000003,4118.1
Central,Office Supplies,Labels,284,1073.0793999999999,8.6,2451.472
East,Office Supplies,Labels,420,1129.28,7.2,2602.9339999999997
South,Office Supplies,Labels,216,1040.7722999999996,7,2353.1799999999994
West,Office Supplies,Labels,480,2303.1222999999995,2.2,5078.7260000000015
Central,Office Supplies,Fasteners,227,236.61859999999993,7.400000000000003,778.0300000000002
East,Office Supplies,Fasteners,298,263.99080000000004,5.6000000000000005,819.7179999999998
South,Office Supplies,Fasteners,126,173.71809999999996,2.4,503.31599999999986
West,Office Supplies,Fasteners,263,275.1907,2.4,923.216
