Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Sum(Orders.Quantity),Sum(Orders.Sales),Sum(Orders.Profit)
2014,Qtr 1,1028,74447.79599999997,3811.228999999995
2015,Qtr 1,990,68851.73859999998,9264.941599999996
2016,Qtr 1,1243,93237.18099999998,11441.370800000006
2017,Qtr 1,1845,123144.86019999992,23506.202599999986
2014,Qtr 2,1523,86538.75960000002,11204.069200000013
2015,Qtr 2,1604,89124.18700000005,12190.922400000009
2016,Qtr 2,2240,136082.30099999995,16390.339400000008
2017,Qtr 2,2551,133764.37199999992,15499.20850000005
2014,Qtr 3,2159,143633.21229999998,12804.721799999992
2015,Qtr 3,2241,130259.57520000004,16853.619400000032
2016,Qtr 3,2767,143787.36220000003,15823.604800000016
2017,Qtr 3,3384,196251.9560000001,26985.132499999974
2014,Qtr 4,2871,179627.73019999996,21723.954099999995
2015,Qtr 4,3144,182297.0082000001,23309.120299999962
2016,Qtr 4,3587,236098.75379999954,38139.85929999996
2017,Qtr 4,4696,280054.0670000003,27448.726000000006
