Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.City,Sum(Orders.Sales)
2015,Furniture,Accessories,Akron,
2015,Office Supplies,Accessories,Akron,
2015,Technology,Accessories,Akron,71.976
2015,Furniture,Accessories,Allen,
2015,Office Supplies,Accessories,Allen,
2015,Technology,Accessories,Allen,21.48
2015,Furniture,Accessories,Allentown,
2015,Office Supplies,Accessories,Allentown,
2015,Technology,Accessories,Allentown,21.728
2015,Furniture,Accessories,Amarillo,
2015,Office Supplies,Accessories,Amarillo,
2015,Technology,Accessories,Amarillo,263.88
2015,Furniture,Accessories,Ann Arbor,
2015,Office Supplies,Accessories,Ann Arbor,
2015,Technology,Accessories,Ann Arbor,619.9499999999999
2015,Furniture,Accessories,Atlanta,
2015,Office Supplies,Accessories,Atlanta,
2015,Technology,Accessories,Atlanta,251.91
2015,Furniture,Accessories,Aurora,
2015,Office Supplies,Accessories,Aurora,
2015,Technology,Accessories,Aurora,238.89600000000002
2015,Furniture,Accessories,Austin,
2015,Office Supplies,Accessories,Austin,
2015,Technology,Accessories,Austin,22.368000000000002
2015,Furniture,Accessories,Avondale,
2015,Office Supplies,Accessories,Avondale,
2015,Technology,Accessories,Avondale,23.200000000000003
2015,Furniture,Accessories,Bayonne,
2015,Office Supplies,Accessories,Bayonne,
2015,Technology,Accessories,Bayonne,63.96
2015,Furniture,Accessories,Brentwood,
2015,Office Supplies,Accessories,Brentwood,
2015,Technology,Accessories,Brentwood,79.9
2015,Furniture,Accessories,Chicago,
2015,Office Supplies,Accessories,Chicago,
2015,Technology,Accessories,Chicago,283.832
2015,Furniture,Accessories,Cincinnati,
2015,Office Supplies,Accessories,Cincinnati,
2015,Technology,Accessories,Cincinnati,53.040000000000006
2015,Furniture,Accessories,Cleveland,
2015,Office Supplies,Accessories,Cleveland,
2015,Technology,Accessories,Cleveland,25.488
2015,Furniture,Accessories,Colorado Springs,
2015,Office Supplies,Accessories,Colorado Springs,
2015,Technology,Accessories,Colorado Springs,58.08
2015,Furniture,Accessories,Columbus,
2015,Office Supplies,Accessories,Columbus,
2015,Technology,Accessories,Columbus,626.304
2015,Furniture,Accessories,Dallas,
2015,Office Supplies,Accessories,Dallas,
2015,Technology,Accessories,Dallas,517.296
2015,Furniture,Accessories,Daytona Beach,
2015,Office Supplies,Accessories,Daytona Beach,
2015,Technology,Accessories,Daytona Beach,50.88
2015,Furniture,Accessories,Decatur,
2015,Office Supplies,Accessories,Decatur,
2015,Technology,Accessories,Decatur,479.952
2015,Furniture,Accessories,Detroit,
2015,Office Supplies,Accessories,Detroit,
2015,Technology,Accessories,Detroit,289.75
2015,Furniture,Accessories,Dover,
2015,Office Supplies,Accessories,Dover,
2015,Technology,Accessories,Dover,2249.91
2015,Furniture,Accessories,East Point,
