Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales)
Central,Technology,Phones,12323.0267,72403.282
East,Technology,Phones,12314.686000000005,100614.9820000001
South,Technology,Phones,10767.275300000005,58304.437999999995
West,Technology,Phones,9110.742599999998,98684.35199999997
Central,Technology,Machines,-1486.0666000000037,26797.384
East,Technology,Machines,6928.642899999997,66106.165
South,Technology,Machines,-1438.8930000000028,53890.95999999999
West,Technology,Machines,-618.9264000000037,42444.122
Central,Technology,Accessories,7251.630599999997,33956.076
East,Technology,Accessories,11195.8644,45033.371999999974
South,Technology,Accessories,7004.542399999999,27276.753999999994
West,Technology,Accessories,16484.59830000001,61114.11600000006
Central,Technology,Copiers,15608.841299999996,37259.56999999999
East,Technology,Copiers,17022.8418,53219.46200000001
South,Technology,Copiers,3658.9067,9299.756
West,Technology,Copiers,19327.235099999994,49749.241999999984
Central,Furniture,Chairs,6592.722100000001,85230.64599999994
East,Furniture,Chairs,9357.770600000002,96260.683
South,Furniture,Chairs,6612.0893,45176.44599999998
West,Furniture,Chairs,4027.584299999994,101781.32799999992
Central,Furniture,Tables,-3559.650400000001,39154.97100000002
East,Furniture,Tables,-11025.380100000002,39139.80700000001
South,Furniture,Tables,-4623.057900000002,43916.192
West,Furniture,Tables,1482.6072999999958,84754.56200000005
Central,Furniture,Bookcases,-1997.9043000000006,24157.176799999994
East,Furniture,Bookcases,-1167.6318000000003,43819.33399999998
South,Furniture,Bookcases,1339.4917999999993,10899.362
West,Furniture,Bookcases,-1646.5117000000016,36004.123500000016
Central,Furniture,Furnishings,-3906.2167999999997,15254.369999999977
East,Furniture,Furnishings,5881.407100000002,29071.37999999999
South,Furniture,Furnishings,3442.6829000000007,17306.684
West,Furniture,Furnishings,7641.270400000004,30072.72999999999
Central,Office Supplies,Storage,1969.8364999999972,45930.111999999994
East,Office Supplies,Storage,8389.37119999999,71612.58400000003
South,Office Supplies,Storage,2274.296500000001,35768.059999999976
West,Office Supplies,Storage,8645.322199999986,70532.85199999994
Central,Office Supplies,Binders,-1043.6369000000086,56923.28199999998
East,Office Supplies,Binders,11267.934599999993,53497.99699999999
South,Office Supplies,Binders,3900.6640000000093,37030.34100000001
West,Office Supplies,Binders,16096.80159999999,55961.113000000034
Central,Office Supplies,Appliances,-2638.617500000002,23582.03299999998
East,Office Supplies,Appliances,8391.4134,34188.46599999999
South,Office Supplies,Appliances,4123.939600000001,19525.325999999997
West,Office Supplies,Appliances,8261.269900000001,30236.335999999996
Central,Office Supplies,Paper,6971.900500000002,17491.902000000002
East,Office Supplies,Paper,9015.370999999994,20172.60199999997
South,Office Supplies,Paper,5947.061399999998,14150.983999999997
West,Office Supplies,Paper,12119.23639999999,26663.71799999998
Central,Office Supplies,Supplies,-661.8881000000002,9467.372
East,Office Supplies,Supplies,-1155.1352,10760.116
South,Office Supplies,Supplies,1.8773000000000573,8318.928
West,Office Supplies,Supplies,626.0464999999994,18127.121999999996
Central,Office Supplies,Art,1195.1590999999992,5765.339999999999
East,Office Supplies,Art,1899.944300000002,7485.7639999999965
South,Office Supplies,Art,1058.5865999999994,4655.622000000002
West,Office Supplies,Art,2374.0969999999998,9212.065999999992
Central,Office Supplies,Envelopes,1777.5282999999997,4636.872
East,Office Supplies,Envelopes,1812.4089999999997,4375.874
South,Office Supplies,Envelopes,1465.4769999999999,3345.5560000000014
West,Office Supplies,Envelopes,1908.7624,4118.1
Central,Office Supplies,Labels,1073.0793999999999,2451.472
East,Office Supplies,Labels,1129.28,2602.9339999999997
South,Office Supplies,Labels,1040.7722999999996,2353.1799999999994
West,Office Supplies,Labels,2303.1222999999995,5078.7260000000015
Central,Office Supplies,Fasteners,236.61859999999993,778.0300000000002
East,Office Supplies,Fasteners,263.99080000000004,819.7179999999998
South,Office Supplies,Fasteners,173.71809999999996,503.31599999999986
West,Office Supplies,Fasteners,275.1907,923.216
