Orders.Segment,Orders.Region,Orders.State,Sum(Orders.Quantity),CountNonNull(Orders.Row ID),Sum(Orders.Sales),Avg(Orders.Postal Code),Sum(Orders.Profit),Min(Orders.Ship Mode),Sum(Orders.Discount)
Consumer,West,Washington,990,275,73866.52000000003,98152.8690909091,19817.305199999973,First Class,17.599999999999998
Corporate,West,Washington,536,131,39727.10999999999,98148.73282442748,9295.911299999996,First Class,7.800000000000001
Home Office,West,Washington,357,100,25047.639999999996,98121.64,4289.435200000002,First Class,7.000000000000002
Consumer,West,Oregon,281,67,8893.932999999999,97342.40298507463,-838.7355,First Class,19.499999999999986
Corporate,West,Oregon,164,38,6563.970000000002,97394.8947368421,180.7439000000001,First Class,10.9
Home Office,West,Oregon,54,19,1973.247,97325.15789473684,-532.4788999999998,First Class,5.4
Consumer,West,California,4081,1048,229636.08000000016,92135.41698473283,38374.039199999985,First Class,73.35000000000016
Corporate,West,California,2291,618,147174.72650000002,92179.65372168284,24367.844099999988,First Class,49.69999999999999
Home Office,West,California,1295,335,80876.82500000003,92112.52537313433,13639.503799999995,First Class,22.54999999999999
Consumer,West,Nevada,81,18,6584.414,89095.22222222222,733.6678999999996,Second Class,1.2
Corporate,West,Nevada,57,13,4802.406,89149.92307692308,776.1847000000001,First Class,0.6000000000000001
Home Office,West,Nevada,30,8,5342.282000000001,89209.25,1806.9132999999997,First Class,0.6000000000000001
Consumer,West,New Mexico,61,15,2186.3239999999996,87574.6,360.43299999999994,Second Class,1
Corporate,West,New Mexico,37,11,1269.7760000000003,87740.09090909091,339.49940000000004,First Class,0.8
Home Office,West,New Mexico,53,11,1327.4219999999998,87526.90909090909,457.1837,Second Class,0.4
Consumer,West,Arizona,430,110,16424.422000000006,85284.04545454546,-1423.0527000000006,First Class,34.69999999999996
Corporate,West,Arizona,268,69,11736.322,85281.15942028986,-788.9158000000003,First Class,20.199999999999985
Home Office,West,Arizona,164,45,7121.2570000000005,85255.13333333333,-1215.9560999999997,First Class,13.1
Consumer,West,Utah,125,31,7152.003999999998,84127.6129032258,1541.5586000000003,First Class,1.7999999999999998
Corporate,West,Utah,43,12,1956.6140000000005,84417.83333333333,302.15719999999993,Second Class,1
Home Office,West,Utah,51,10,2111.438,84139.8,702.8177,First Class,0.4
Consumer,West,Idaho,29,9,1444.496,83290.22222222222,222.49769999999995,First Class,0.8
Corporate,West,Idaho,27,9,2630.25,83574.55555555556,517.0034,Standard Class,1
Home Office,West,Idaho,8,3,307.74,83642,87.22199999999995,Standard Class,0
Consumer,West,Wyoming,,,,,,,
Corporate,West,Wyoming,,,,,,,
Home Office,West,Wyoming,4,1,1603.1360000000002,82001,100.19599999999997,Standard Class,0.2
Consumer,West,Colorado,382,95,15794.491999999998,80288.43157894736,-1614.5502000000008,First Class,29.399999999999967
Corporate,West,Colorado,200,57,9945.912000000004,80297.87719298246,-566.0659000000002,First Class,17.199999999999992
Home Office,West,Colorado,111,30,6367.714000000002,80314.93333333333,-4347.241800000001,First Class,10.999999999999998
Consumer,West,Montana,17,4,898.088,59504,277.44079999999997,Standard Class,0.4
Corporate,West,Montana,7,2,48.188,59351.5,13.067599999999999,First Class,0.2
Home Office,West,Montana,32,9,4643.075999999999,59517.444444444445,1542.8201,Standard Class,0.4
Consumer,Central,Texas,1929,524,95976.37799999991,76902.87977099237,-20596.376700000008,First Class,195.3600000000006
Corporate,Central,Texas,1207,312,53908.11979999997,76887.41666666667,-4048.3114,First Class,112.49999999999972
Home Office,Central,Texas,588,149,20303.548000000006,76924.22818791946,-1084.6682000000005,First Class,56.779999999999966
Consumer,Central,Oklahoma,132,35,11561.769999999999,73584.91428571429,3021.8161,First Class,0
Corporate,Central,Oklahoma,39,11,2569.7500000000005,73738.18181818182,519.4248000000001,First Class,0
Home Office,Central,Oklahoma,76,20,5551.87,73826.4,1312.7151,First Class,0
Consumer,Central,Nebraska,71,19,5261.249999999998,68163.78947368421,1603.5748999999998,First Class,0
Corporate,Central,Nebraska,45,13,1266.7399999999998,68073.61538461539,215.1239,First Class,0
Home Office,Central,Nebraska,20,6,936.9399999999998,68090.83333333333,218.39540000000002,First Class,0
Consumer,Central,Kansas,26,8,697.1799999999998,67449.75,263.5363,First Class,0
Corporate,Central,Kansas,26,8,898.1799999999998,66620.5,286.32559999999995,First Class,0
Home Office,Central,Kansas,22,8,1318.95,66404.5,286.5816,Second Class,0
Consumer,Central,Missouri,139,38,5150.920000000001,65025.02631578947,1158.0537,First Class,0
Corporate,Central,Missouri,63,15,10500.429999999998,65200.6,2904.9968,Second Class,0
Home Office,Central,Missouri,50,13,6553.8,65338.61538461538,2373.16,First Class,0
Consumer,Central,Illinois,1016,276,45182.19499999999,60731.79347826087,-5470.893400000001,First Class,109.49999999999963
Corporate,Central,Illinois,479,120,15984.280000000004,60797.166666666664,-4492.881700000001,First Class,48.099999999999966
Home Office,Central,Illinois,350,96,18999.625999999997,60584.760416666664,-2644.111900000001,First Class,34.30000000000002
Consumer,Central,North Dakota,24,5,891.53,58103,216.59069999999997,Second Class,0
Corporate,Central,North Dakota,,,,,,,
Home Office,Central,North Dakota,6,2,28.38,58103,13.559,Standard Class,0
Consumer,Central,South Dakota,10,2,45.730000000000004,57252,16.1381,Second Class,0
Corporate,Central,South Dakota,32,10,1269.83,57222.6,378.69020000000006,First Class,0
Home Office,Central,South Dakota,,,,,,,
Consumer,Central,Minnesota,192,51,19235.179999999997,55468.666666666664,7503.108900000001,First Class,0
Corporate,Central,Minnesota,62,16,3111.1100000000006,55489.5,1116.0349,First Class,0
Home Office,Central,Minnesota,77,22,7516.859999999999,55249.545454545456,2204.0435999999995,First Class,0
Consumer,Central,Wisconsin,140,35,14232.359999999995,53768.91428571429,3451.8645000000006,First Class,0
Corporate,Central,Wisconsin,206,47,12395.63,53413.48936170213,3420.2129999999993,First Class,0
Home Office,Central,Wisconsin,117,28,5486.62,53834.21428571428,1529.7229,First Class,0
Consumer,Central,Iowa,47,14,2100.07,51344.57142857143,419.8995,First Class,0
Corporate,Central,Iowa,39,10,911.45,50706.2,294.03860000000003,Second Class,0
Home Office,Central,Iowa,26,6,1568.24,51970.166666666664,469.87379999999996,Second Class,0
Consumer,Central,Michigan,494,132,36709.910999999986,48394.954545454544,12950.523199999998,First Class,0.6
Corporate,Central,Michigan,252,70,23391.552999999985,48420.12857142857,5816.526499999998,First Class,0.7999999999999999
Home Office,Central,Michigan,200,53,16168.150000000003,48652.07547169811,5696.1379000000015,First Class,0.4
Consumer,Central,Indiana,299,73,14986.960000000001,46854.95890410959,4026.2123000000006,First Class,0
Corporate,Central,Indiana,154,41,31788.74,46978.65853658537,12293.720799999997,First Class,0
Home Office,Central,Indiana,125,35,6779.660000000001,47001.857142857145,2063.0031999999997,First Class,0
Consumer,South,Arkansas,148,37,8802.009999999998,72331,3152.8321,First Class,0
Corporate,South,Arkansas,56,14,2463.7799999999997,72324.21428571429,706.441,Second Class,0
Home Office,South,Arkansas,36,9,412.34000000000003,72280.33333333333,149.41399999999996,Same Day,0
Consumer,South,Louisiana,88,26,6174.259999999998,70667.03846153847,1344.0039,First Class,0
Corporate,South,Louisiana,46,12,1882.3500000000001,70924.66666666667,452.1782,First Class,0
Home Office,South,Louisiana,22,4,1160.42,71052.5,399.9202,Second Class,0
Consumer,South,Kentucky,261,76,20430.719999999987,41089.69736842105,6663.839800000002,First Class,0
Corporate,South,Kentucky,140,35,7927.83,41361.74285714285,2106.4954000000007,First Class,0
Home Office,South,Kentucky,122,28,8233.199999999999,41244.92857142857,2429.3614,First Class,0
Consumer,South,Mississippi,117,28,7688.580000000001,39218.42857142857,1884.5524,First Class,0
Corporate,South,Mississippi,50,14,1362.72,39112.5,556.5185,Same Day,0
Home Office,South,Mississippi,54,11,1720.0400000000002,39212,731.9053,Second Class,0
Consumer,South,Tennessee,381,100,16578.939000000002,37783.31,-3590.8477999999996,First Class,26.39999999999996
Corporate,South,Tennessee,218,56,9745.765,37512.46428571428,-640.0381999999995,First Class,17.99999999999999
Home Office,South,Tennessee,82,27,4337.169,37464.62962962963,-1110.8076,First Class,8.900000000000002
Consumer,South,Alabama,102,25,7537.539999999999,36211.92,1711.0938999999998,First Class,0
Corporate,South,Alabama,130,28,10969.379999999996,35852.46428571428,3648.384599999999,First Class,0
Home Office,South,Alabama,24,8,1003.7199999999999,35812.75,427.3468,Second Class,0
Consumer,South,Florida,596,180,32701.195999999985,33022.51111111111,-137.28290000000158,First Class,53.39999999999995
Corporate,South,Florida,536,136,22477.59150000001,32994.35294117647,-1417.7920000000013,First Class,40.749999999999964
Home Office,South,Florida,247,67,34294.9205,32969.26865671642,-1844.2268000000026,First Class,20.499999999999993
Consumer,South,Georgia,349,85,24447.120000000003,30794.211764705884,8035.225399999998,First Class,0
Corporate,South,Georgia,207,59,15982.249999999998,31082.508474576272,5561.712199999999,First Class,0
