Superstore 2023.Category,Dates.Date,Key measures.Total sales,Key measures.Total YTD
Furniture,"Monday, January 06, 2020",2573.82,2573.82
Furniture,"Tuesday, January 07, 2020",76.728,2650.5480000000002
Furniture,"Wednesday, January 08, 2020",,2650.5480000000002
Furniture,"Thursday, January 09, 2020",,2650.5480000000002
Furniture,"Friday, January 10, 2020",51.94,2702.4880000000003
Furniture,"Saturday, January 11, 2020",9.94,2712.4280000000003
Furniture,"Sunday, January 12, 2020",,2712.4280000000003
Furniture,"Monday, January 13, 2020",879.939,3592.367
Furniture,"Tuesday, January 14, 2020",61.96,3654.327
Furniture,"Wednesday, January 15, 2020",,3654.327
Furniture,"Thursday, January 16, 2020",127.104,3781.431
Furniture,"Friday, January 17, 2020",,3781.431
Furniture,"Saturday, January 18, 2020",,3781.431
Furniture,"Sunday, January 19, 2020",181.47,3962.901
Furniture,"Monday, January 20, 2020",1413.51,5376.411
Furniture,"Tuesday, January 21, 2020",25.248,5401.659
Furniture,"Wednesday, January 22, 2020",,5401.659
Furniture,"Thursday, January 23, 2020",,5401.659
Furniture,"Friday, January 24, 2020",,5401.659
Furniture,"Saturday, January 25, 2020",,5401.659
Furniture,"Sunday, January 26, 2020",217.2,5618.8589999999995
Furniture,"Monday, January 27, 2020",333,5951.8589999999995
Furniture,"Tuesday, January 28, 2020",,5951.8589999999995
Furniture,"Wednesday, January 29, 2020",,5951.8589999999995
Furniture,"Thursday, January 30, 2020",,5951.8589999999995
Furniture,"Friday, January 31, 2020",290.666,6242.525
Furniture,"Saturday, February 01, 2020",,6242.525
Furniture,"Sunday, February 02, 2020",,6242.525
Furniture,"Monday, February 03, 2020",,6242.525
Furniture,"Tuesday, February 04, 2020",,6242.525
Furniture,"Wednesday, February 05, 2020",,6242.525
Furniture,"Thursday, February 06, 2020",,6242.525
Furniture,"Friday, February 07, 2020",,6242.525
Furniture,"Saturday, February 08, 2020",14.56,6257.085
Furniture,"Sunday, February 09, 2020",,6257.085
Furniture,"Monday, February 10, 2020",,6257.085
Furniture,"Tuesday, February 11, 2020",1650.05,7907.135
Furniture,"Wednesday, February 12, 2020",129.568,8036.703
Furniture,"Thursday, February 13, 2020",,8036.703
Furniture,"Friday, February 14, 2020",,8036.703
Furniture,"Saturday, February 15, 2020",,8036.703
Furniture,"Sunday, February 16, 2020",,8036.703
Furniture,"Monday, February 17, 2020",,8036.703
Furniture,"Tuesday, February 18, 2020",25.16,8061.863
Furniture,"Wednesday, February 19, 2020",,8061.863
Furniture,"Thursday, February 20, 2020",20.32,8082.183
Furniture,"Friday, February 21, 2020",,8082.183
Furniture,"Saturday, February 22, 2020",,8082.183
Furniture,"Sunday, February 23, 2020",,8082.183
Furniture,"Monday, February 24, 2020",,8082.183
Furniture,"Tuesday, February 25, 2020",,8082.183
Furniture,"Wednesday, February 26, 2020",,8082.183
Furniture,"Thursday, February 27, 2020",,8082.183
Furniture,"Friday, February 28, 2020",,8082.183
Furniture,"Saturday, February 29, 2020",,8082.183
Furniture,"Sunday, March 01, 2020",1893.995,9976.178
