Sales Territory.Group,Date.Fiscal Year,Product.Products.Subcategory,Sum(Sales.Sales Amount)
Europe,FY2020,Mountain Bikes,3583004.9662
North America,FY2020,Mountain Bikes,9913453.1557
Pacific,FY2020,Mountain Bikes,1264914.8632
Europe,FY2020,Road Bikes,3169316.2779
North America,FY2020,Road Bikes,9569958.7291
Pacific,FY2020,Road Bikes,1822387.12
Europe,FY2020,Touring Bikes,4445834.741
North America,FY2020,Touring Bikes,7543188.5586
Pacific,FY2020,Touring Bikes,2172602.7102
Europe,FY2020,Mountain Frames,457913.014
North America,FY2020,Mountain Frames,1772060.4833
Pacific,FY2020,Mountain Frames,35496.384
Europe,FY2020,Touring Frames,520015.0802
North America,FY2020,Touring Frames,996279.4687
Pacific,FY2020,Touring Frames,126033.1373
Europe,FY2020,Road Frames,270613.4486
North America,FY2020,Road Frames,1126266.8184
Pacific,FY2020,Road Frames,356.898
Europe,FY2020,Jerseys,153897.8686
North America,FY2020,Jerseys,346217.0735
Pacific,FY2020,Jerseys,60047.1278
Europe,FY2020,Helmets,106696.7709
North America,FY2020,Helmets,190146.3889
Pacific,FY2020,Helmets,50728.502
Europe,FY2020,Shorts,52957.4018
North America,FY2020,Shorts,262666.7871
Pacific,FY2020,Shorts,15649.764
Europe,FY2020,Vests,68445.9968
North America,FY2020,Vests,169278.2505
Pacific,FY2020,Vests,20811.6234
Europe,FY2020,Tires and Tubes,69357.8876
North America,FY2020,Tires and Tubes,127489.092
Pacific,FY2020,Tires and Tubes,45893.338
Europe,FY2020,Bike Racks,62633.268
North America,FY2020,Bike Racks,155456.184
Pacific,FY2020,Bike Racks,17926.704
Europe,FY2020,Cranksets,51238.962
North America,FY2020,Cranksets,135864.2842
Pacific,FY2020,Cranksets,16839.372
Europe,FY2020,Pedals,26013.048
North America,FY2020,Pedals,119768.4758
Pacific,FY2020,Pedals,1702.386
Europe,FY2020,Hydration Packs,27546.8611
North America,FY2020,Hydration Packs,63300.8753
Pacific,FY2020,Hydration Packs,13933.8721
Europe,FY2020,Handlebars,17935.122
North America,FY2020,Handlebars,72741.1732
Pacific,FY2020,Handlebars,2810.964
Europe,FY2020,Gloves,23699.6148
North America,FY2020,Gloves,53640.9908
Pacific,FY2020,Gloves,9649.3049
Europe,FY2020,Derailleurs,17340.4369
North America,FY2020,Derailleurs,45540.7249
Pacific,FY2020,Derailleurs,7328.334
Europe,FY2020,Brakes,16250.7498
North America,FY2020,Brakes,44208.6612
Pacific,FY2020,Brakes,5559.3
Europe,FY2020,Bottles and Cages,18361.2878
North America,FY2020,Bottles and Cages,33078.6318
Pacific,FY2020,Bottles and Cages,11068.274
