Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Country,Orders.Region,Orders.Segment,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Discount)
2014,United States,Central,Consumer,Furniture,Bookcases,15,0.9199999999999999
2015,United States,Central,Consumer,Furniture,Bookcases,27,1.54
2014,United States,Central,Consumer,Furniture,Chairs,70,3.899999999999999
2015,United States,Central,Consumer,Furniture,Chairs,99,4.199999999999999
2014,United States,Central,Consumer,Furniture,Furnishings,97,11.399999999999997
2015,United States,Central,Consumer,Furniture,Furnishings,86,8.399999999999999
2014,United States,Central,Consumer,Furniture,Tables,40,3.999999999999999
2015,United States,Central,Consumer,Furniture,Tables,21,1.5
2014,United States,Central,Consumer,Office Supplies,Appliances,54,7.299999999999999
2015,United States,Central,Consumer,Office Supplies,Appliances,67,8.2
2014,United States,Central,Consumer,Office Supplies,Art,69,1.9999999999999998
2015,United States,Central,Consumer,Office Supplies,Art,59,1.7999999999999998
2014,United States,Central,Consumer,Office Supplies,Binders,208,26.400000000000013
2015,United States,Central,Consumer,Office Supplies,Binders,153,22.40000000000001
2014,United States,Central,Consumer,Office Supplies,Envelopes,26,1
2015,United States,Central,Consumer,Office Supplies,Envelopes,18,0.6000000000000001
2014,United States,Central,Consumer,Office Supplies,Fasteners,28,1.2
2015,United States,Central,Consumer,Office Supplies,Fasteners,28,0.8
2014,United States,Central,Consumer,Office Supplies,Labels,17,0.4
2015,United States,Central,Consumer,Office Supplies,Labels,26,0.4
2014,United States,Central,Consumer,Office Supplies,Paper,135,5.000000000000002
2015,United States,Central,Consumer,Office Supplies,Paper,94,3.0000000000000004
2014,United States,Central,Consumer,Office Supplies,Storage,124,3.800000000000001
2015,United States,Central,Consumer,Office Supplies,Storage,69,3.2000000000000006
2014,United States,Central,Consumer,Office Supplies,Supplies,8,0.4
2015,United States,Central,Consumer,Office Supplies,Supplies,11,0.6000000000000001
2014,United States,Central,Consumer,Technology,Accessories,80,3.0000000000000004
2015,United States,Central,Consumer,Technology,Accessories,84,3.2000000000000006
2014,United States,Central,Consumer,Technology,Copiers,5,0.2
2015,United States,Central,Consumer,Technology,Copiers,9,0.4
2014,United States,Central,Consumer,Technology,Machines,15,1.2000000000000002
2015,United States,Central,Consumer,Technology,Machines,7,0.8
2014,United States,Central,Consumer,Technology,Phones,48,2.4
2015,United States,Central,Consumer,Technology,Phones,83,2.6
2014,United States,Central,Corporate,Furniture,Bookcases,3,0.32
2015,United States,Central,Corporate,Furniture,Bookcases,16,0.96
2014,United States,Central,Corporate,Furniture,Chairs,25,1.5
2015,United States,Central,Corporate,Furniture,Chairs,15,0.6
2014,United States,Central,Corporate,Furniture,Furnishings,32,4.8
2015,United States,Central,Corporate,Furniture,Furnishings,43,5.999999999999999
2014,United States,Central,Corporate,Furniture,Tables,7,0.6
2015,United States,Central,Corporate,Furniture,Tables,15,0.6
2014,United States,Central,Corporate,Office Supplies,Appliances,20,3.3
2015,United States,Central,Corporate,Office Supplies,Appliances,15,1.9000000000000001
2014,United States,Central,Corporate,Office Supplies,Art,22,0.4
2015,United States,Central,Corporate,Office Supplies,Art,36,0.8
2014,United States,Central,Corporate,Office Supplies,Binders,40,9.6
2015,United States,Central,Corporate,Office Supplies,Binders,69,11.200000000000001
2014,United States,Central,Corporate,Office Supplies,Envelopes,20,1
2015,United States,Central,Corporate,Office Supplies,Envelopes,16,0.4
2014,United States,Central,Corporate,Office Supplies,Fasteners,16,0.6000000000000001
2015,United States,Central,Corporate,Office Supplies,Fasteners,8,0.2
2014,United States,Central,Corporate,Office Supplies,Labels,14,0.6000000000000001
2015,United States,Central,Corporate,Office Supplies,Labels,18,1.2
2014,United States,Central,Corporate,Office Supplies,Paper,56,2.6
2015,United States,Central,Corporate,Office Supplies,Paper,99,2.8000000000000003
2014,United States,Central,Corporate,Office Supplies,Storage,42,1.7999999999999998
2015,United States,Central,Corporate,Office Supplies,Storage,49,1.5999999999999999
2014,United States,Central,Corporate,Office Supplies,Supplies,8,0.4
2015,United States,Central,Corporate,Office Supplies,Supplies,13,0.6000000000000001
2014,United States,Central,Corporate,Technology,Accessories,42,1.2
2015,United States,Central,Corporate,Technology,Accessories,29,1.2
2014,United States,Central,Corporate,Technology,Copiers,3,0.2
2015,United States,Central,Corporate,Technology,Copiers,14,0.4
2014,United States,Central,Corporate,Technology,Machines,13,1.2000000000000002
2015,United States,Central,Corporate,Technology,Machines,2,0.4
2014,United States,Central,Corporate,Technology,Phones,25,1
2015,United States,Central,Corporate,Technology,Phones,66,2.4
2014,United States,Central,Home Office,Furniture,Bookcases,5,0.32
2015,United States,Central,Home Office,Furniture,Bookcases,15,0.94
2014,United States,Central,Home Office,Furniture,Chairs,41,1.8
2015,United States,Central,Home Office,Furniture,Chairs,31,1.2
2014,United States,Central,Home Office,Furniture,Furnishings,18,1.7999999999999998
2015,United States,Central,Home Office,Furniture,Furnishings,28,1.2
2014,United States,Central,Home Office,Furniture,Tables,6,0.3
2015,United States,Central,Home Office,Furniture,Tables,15,0.8
2014,United States,Central,Home Office,Office Supplies,Appliances,8,0.1
2015,United States,Central,Home Office,Office Supplies,Appliances,24,2.6
2014,United States,Central,Home Office,Office Supplies,Art,15,0.8
2015,United States,Central,Home Office,Office Supplies,Art,21,0.4
2014,United States,Central,Home Office,Office Supplies,Binders,52,7.199999999999999
2015,United States,Central,Home Office,Office Supplies,Binders,66,6.3999999999999995
2014,United States,Central,Home Office,Office Supplies,Envelopes,17,0.4
2015,United States,Central,Home Office,Office Supplies,Envelopes,16,0.4
2014,United States,Central,Home Office,Office Supplies,Fasteners,2,0.2
2015,United States,Central,Home Office,Office Supplies,Fasteners,4,0.2
2014,United States,Central,Home Office,Office Supplies,Labels,26,1
