Table5.Year,Table5.Region,Table5.Country,Sum(Table5.AC),Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.FC)
2017,Americas,USA,359000,293000,350000,404000
2018,Americas,USA,275000,341000,133000,242000
2019,Americas,USA,321000,286000,259000,392000
2017,Americas,Brazil,233000,297000,381000,280000
2018,Americas,Brazil,280000,-44000,273000,160000
2019,Americas,Brazil,367000,238000,309000,242000
2017,Americas,Canada,239000,208000,249000,314000
2018,Americas,Canada,279000,-18000,166000,251000
2019,Americas,Canada,236000,232000,229000,291000
2017,Americas,Other,97000,111000,38000,79000
2018,Americas,Other,67000,93000,,147000
2019,Americas,Other,125000,85000,37000,113000
2017,Europe,Poland,103000,0,172000,208000
2018,Europe,Poland,180000,182000,173000,221000
2019,Europe,Poland,239000,272000,173000,171000
2017,Europe,Sweden,176000,276000,405000,137000
2018,Europe,Sweden,,345000,247000,325000
2019,Europe,Sweden,340000,319000,246000,215000
2017,Europe,Belgium,88000,118000,192000,251000
2018,Europe,Belgium,198000,173000,235000,211000
2019,Europe,Belgium,227000,240000,113000,191000
2017,Europe,Germany,107000,0,260000,207000
2018,Europe,Germany,91000,100000,126000,84000
2019,Europe,Germany,219000,190000,232000,116000
2017,Europe,France,118000,196000,199000,191000
2018,Europe,France,0,0,0,170000
2019,Europe,France,175000,152000,158000,142000
2017,Europe,Other,142000,77000,64000,77000
2018,Europe,Other,41000,0,131000,129000
2019,Europe,Other,83000,50000,45000,102000
2017,Asia-Pacific,Australia,304000,329000,282000,347000
2018,Asia-Pacific,Australia,335000,180000,310000,295000
2019,Asia-Pacific,Australia,80000,217000,139000,269000
2017,Asia-Pacific,Japan,206000,264000,232000,254000
2018,Asia-Pacific,Japan,249000,187000,265000,410000
2019,Asia-Pacific,Japan,229000,279000,300000,221000
2017,Asia-Pacific,China,244000,308000,294000,311000
2018,Asia-Pacific,China,287000,318000,237000,413000
2019,Asia-Pacific,China,145000,321000,295000,256000
2017,Asia-Pacific,Other,50000,134000,111000,118000
2018,Asia-Pacific,Other,78000,78000,52000,55000
2019,Asia-Pacific,Other,69000,66000,41000,87000
